abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
"Under Viktor Orban, Hungary has become a place of two parallel realities. But rarely have these two bubbles seemed so surreally far apart than during the past week of protests.",article,nyt://article/78e7944e-4ff5-57ec-84f6-5beba7aab7f6,"[{'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 1}, {'name': 'Person', 'value': 'Orban, Viktor', 'rank': 2}, {'name': 'Location', 'value': 'Hungary', 'rank': 3}, {'name': 'Location', 'value': 'Budapest (Hungary)', 'rank': 4}, {'name': 'Subject', 'value': 'Law and Legislation', 'rank': 5}, {'name': 'Subject', 'value': 'News and News Media', 'rank': 6}, {'name': 'Subject', 'value': 'Pigeons', 'rank': 7}]",Foreign,6,A,2018-12-18 21:56:28+00:00,World,"Under Viktor Orban, there are two realities: one created by state media and the other by independent outlets trying to hold Mr. Orban to account.",The New York Times,Europe,News,nyt://article/78e7944e-4ff5-57ec-84f6-5beba7aab7f6,https://www.nytimes.com/2018/12/18/world/europe/hungary-protest-orban.html,947,By Patrick Kingsley,Outside Hungary’s State Television: A Protest. On Air: Pigeon Talk.,Budapest Dispatch,"In Hungary, Airing Clashing Versions of Reality",Anti-government demonstrators marching in Budapest on Sunday.,"Balazs Mohai/MTI, via Associated Press",https://static01.nyt.com/images/2018/12/19/world/19hungary-protests-dispatch1/merlin_148216065_8ca3f666-fe5d-4a60-9777-6f6efc2e6370-articleLarge.jpg,384,600,https://static01.nyt.com/images/2018/12/19/world/19hungary-protests-dispatch1/19hungary-protests-dispatch1-thumbStandard.jpg,75,75,Outside Hungary’s State Television: A Protest. On Air: Pigeon Talk.,"Outside Hungary’s State Television: A Protest. On Air: Pigeon Talk. Under Viktor Orban, Hungary has become a place of two parallel realities. But rarely have these two bubbles seemed so surreally far apart than during the past week of protests. Under Viktor Orban, there are two realities: one created by state media and the other by independent outlets trying to hold Mr. Orban to account."
"Experts accused Michel Sidibé, the agency’s chief, of having an autocratic style leading to “ethical blindness” on harassment and the abuse of power.",article,nyt://article/f2db522b-ce7f-5215-ab20-a6e7ccbb5690,"[{'name': 'Subject', 'value': 'Acquired Immune Deficiency Syndrome', 'rank': 1}, {'name': 'Organization', 'value': 'UNAIDS', 'rank': 2}, {'name': 'Person', 'value': 'Sidibe, Michel', 'rank': 3}, {'name': 'Subject', 'value': 'Sexual Harassment', 'rank': 4}, {'name': 'Subject', 'value': '#MeToo Movement', 'rank': 5}, {'name': 'Subject', 'value': 'Ethics and Official Misconduct', 'rank': 6}]",Foreign,,,2018-12-07 21:18:52+00:00,World,"Experts accused Michel Sidibé, the agency’s chief, of having an autocratic style leading to “ethical blindness” on harassment and the abuse of power.",The New York Times,Europe,News,nyt://article/f2db522b-ce7f-5215-ab20-a6e7ccbb5690,https://www.nytimes.com/2018/12/07/world/europe/unaids-abuse.html,592,By Nick Cumming-Bruce,"U.N. AIDS Agency Is in ‘State of Crisis’ and Needs New Leader, Report Says",,"U.N. AIDS Agency Is in ‘State of Crisis’ and Needs New Leader, Report Says","A report accused Michel Sidibé, the executive director of U.N.AIDS, of a management style that “enabled a culture of harassment, including sexual harassment, bullying and abuse of power.”",Thibault Camus/Associated Press,https://static01.nyt.com/images/2018/12/08/world/08nations/merlin_147849231_f2e9a078-859f-4b4d-95fc-b2ac767082bf-articleLarge.jpg,400,600,https://static01.nyt.com/images/2018/12/08/world/08nations/08nations-thumbStandard.jpg,75,75,"U.N. AIDS Agency Is in ‘State of Crisis’ and Needs New Leader, Report Says","U.N. AIDS Agency Is in ‘State of Crisis’ and Needs New Leader, Report Says Experts accused Michel Sidibé, the agency’s chief, of having an autocratic style leading to “ethical blindness” on harassment and the abuse of power. Experts accused Michel Sidibé, the agency’s chief, of having an autocratic style leading to “ethical blindness” on harassment and the abuse of power."
"After a summit meeting in Argentina, President Emmanuel Macron surveyed the destruction left after the “Yellow Vest” protests.",article,nyt://article/77f6b819-e4c8-525e-8402-d5b122184b88,"[{'name': 'Subject', 'value': 'Yellow Vests Movement', 'rank': 1}, {'name': 'Person', 'value': 'Macron, Emmanuel (1977- )', 'rank': 2}, {'name': 'Location', 'value': 'France', 'rank': 3}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 4}, {'name': 'Subject', 'value': 'Vandalism', 'rank': 5}, {'name': 'Subject', 'value': 'Taxation', 'rank': 6}, {'name': 'Subject', 'value': 'Oil (Petroleum) and Gasoline', 'rank': 7}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 8}]",Foreign,8,A,2018-12-02 15:55:37+00:00,World,President Emmanuel Macron returned from a global meeting and surveyed the damage after another day of violent protests.,The New York Times,Europe,News,nyt://article/77f6b819-e4c8-525e-8402-d5b122184b88,https://www.nytimes.com/2018/12/02/world/europe/france-macron-yellow-vest-protests.html,1032,By Alissa J. Rubin,"Macron Returns to Turmoil, as France Weighs State of Emergency",,French Protesters Chide Macron: ‘We Cut Off Heads for Less Than This’,Burned vehicles lay around the streets of Paris. At least one person died in the violent clashes on Saturday.,"Etienne Laurent/EPA, via Shutterstock",https://static01.nyt.com/images/2018/12/03/world/03france-protests-promo/03france-protests-promo-articleLarge-v4.jpg,400,600,https://static01.nyt.com/images/2018/12/03/world/03france-protests-promo/03france-protests-promo-thumbStandard-v4.jpg,75,75,"Macron Returns to Turmoil, as France Weighs State of Emergency","Macron Returns to Turmoil, as France Weighs State of Emergency After a summit meeting in Argentina, President Emmanuel Macron surveyed the destruction left after the “Yellow Vest” protests. President Emmanuel Macron returned from a global meeting and surveyed the damage after another day of violent protests."
A government spokesman said one option was imposing a state of emergency to prevent a recurrence of the worst civil unrest in more than a decade.,article,nyt://article/eccb09e4-ca01-5642-a4bc-7fa934e4e3fb,"[{'name': 'Subject', 'value': 'Yellow Vests Movement', 'rank': 1}, {'name': 'Location', 'value': 'France', 'rank': 2}, {'name': 'Person', 'value': 'Macron, Emmanuel (1977- )', 'rank': 3}, {'name': 'Location', 'value': 'Paris (France)', 'rank': 4}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 5}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 6}]",Foreign,10,A,2018-12-01 11:23:28+00:00,World,A government spokesman said one option was imposing a state of emergency to prevent a recurrence of the worst civil unrest in more than a decade.,The New York Times,Europe,News,nyt://article/eccb09e4-ca01-5642-a4bc-7fa934e4e3fb,https://www.nytimes.com/2018/12/01/world/europe/france-yellow-vests-protests-macron.html,1715,By Alissa J. Rubin,Macron Inspects Damage After ‘Yellow Vest’ Protests as France Weighs State of Emergency,,Protests in Paris Over ‘Two Frances’ Escalate in Violence,A car burning in Paris on Saturday during clashes near the Place de l’Etoile.,Stephane Mahe/Reuters,https://static01.nyt.com/images/2018/12/04/world/02france/02france-protest-3-articleLarge.jpg,400,600,https://static01.nyt.com/images/2018/12/04/world/02france/02france-protest-3-thumbStandard.jpg,75,75,Macron Inspects Damage After ‘Yellow Vest’ Protests as France Weighs State of Emergency,Macron Inspects Damage After ‘Yellow Vest’ Protests as France Weighs State of Emergency A government spokesman said one option was imposing a state of emergency to prevent a recurrence of the worst civil unrest in more than a decade. A government spokesman said one option was imposing a state of emergency to prevent a recurrence of the worst civil unrest in more than a decade.
"Prime Minister Alexis Tsipras wants to remove clerics from Greece’s civil service, raising concerns about job security and even national identity.",article,nyt://article/26d56f3b-6fe8-5a27-bf77-c7916ac10d55,"[{'name': 'Subject', 'value': 'Politics and Government', 'rank': 1}, {'name': 'Subject', 'value': 'Clergy', 'rank': 2}, {'name': 'Subject', 'value': 'Religion-State Relations', 'rank': 3}, {'name': 'Person', 'value': 'Tsipras, Alexis', 'rank': 4}, {'name': 'Location', 'value': 'Greece', 'rank': 5}]",Foreign,5,A,2018-11-16 16:30:28+00:00,World,"Prime Minister Alexis Tsipras wants to remove clerics from Greece’s civil service, raising concerns about job security and even national identity.",The New York Times,Europe,News,nyt://article/26d56f3b-6fe8-5a27-bf77-c7916ac10d55,https://www.nytimes.com/2018/11/16/world/europe/greece-tsipras-orthodox-church.html,926,By Niki Kitsantonis,Greek Leader’s Efforts to Loosen Church-State Ties Are Met With Skepticism,,Greek Leader’s Push to Loosen Church-State Ties Is Met With Skepticism,"Prime Minister Alexis Tsipras of Greece, right, and the head of the Greek Orthodox Church, Archbishop Ieronymos, announcing a tentative deal this month to remove clerics from civil service payrolls and to resolve a longstanding dispute over church property.","Andrea Bonetti/Greek Prime Minister's Office, via Associated Press",https://static01.nyt.com/images/2018/11/17/world/17Greece-print/merlin_146432250_f1a0090d-d639-4c11-8702-9b42057d2c81-articleLarge.jpg,400,600,https://static01.nyt.com/images/2018/11/17/world/17Greece-print/17Greece1-thumbStandard.jpg,75,75,Greek Leader’s Efforts to Loosen Church-State Ties Are Met With Skepticism,"Greek Leader’s Efforts to Loosen Church-State Ties Are Met With Skepticism Prime Minister Alexis Tsipras wants to remove clerics from Greece’s civil service, raising concerns about job security and even national identity. Prime Minister Alexis Tsipras wants to remove clerics from Greece’s civil service, raising concerns about job security and even national identity."
The state of Victoria signed on with China’s Belt and Road initiative at a time when intelligence officials are concerned about Beijing’s influence.,article,nyt://article/3904c1f4-5606-5775-a3c4-0bd35899a59d,"[{'name': 'Person', 'value': 'Morrison, Scott (1968- )', 'rank': 1}, {'name': 'Location', 'value': 'Australia', 'rank': 2}, {'name': 'Location', 'value': 'China', 'rank': 3}, {'name': 'Location', 'value': 'Victoria (Australia)', 'rank': 4}]",Foreign,,,2018-11-13 06:26:34+00:00,World,The state of Victoria signed on with China’s Belt and Road initiative at a time when intelligence officials are concerned about Beijing’s influence.,The New York Times,Australia,News,nyt://article/3904c1f4-5606-5775-a3c4-0bd35899a59d,https://www.nytimes.com/2018/11/13/world/australia/victoria-china-scott-morrison.html,986,By Jamie Tarabay and Vicky Xiuzhong Xu,Australia’s Prime Minister ‘Surprised’ by State’s Secret Deal With China ,,,"Australia's prime minister, Scott Morrison, said it was not “cooperative or helpful” for the state of Victoria to sign an agreement with China without his government’s knowledge. ","Michael Chambers/EPA, via Shutterstock",https://static01.nyt.com/images/2018/11/14/world/14oz-china-2/merlin_146505234_79454f3f-8952-4cf0-a934-8286c94e5f26-articleLarge.jpg,400,600,https://static01.nyt.com/images/2018/11/14/world/14oz-china-2/14oz-china-2-thumbStandard.jpg,75,75,Australia’s Prime Minister ‘Surprised’ by State’s Secret Deal With China,Australia’s Prime Minister ‘Surprised’ by State’s Secret Deal With China The state of Victoria signed on with China’s Belt and Road initiative at a time when intelligence officials are concerned about Beijing’s influence. The state of Victoria signed on with China’s Belt and Road initiative at a time when intelligence officials are concerned about Beijing’s influence.
"The passports, which consular officials said contained false or fraudulent names, were taken between December 2012 and June 2013, just as Yemen’s fragile political system began descending into chaos.",article,nyt://article/e7fc773e-75e8-5e95-96da-211620ef0b99,"[{'name': 'Subject', 'value': 'Passports', 'rank': 1}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 2}, {'name': 'Subject', 'value': 'Diplomatic Service, Embassies and Consulates', 'rank': 3}, {'name': 'Subject', 'value': 'Inspectors General', 'rank': 4}, {'name': 'Organization', 'value': 'State Department', 'rank': 5}, {'name': 'Location', 'value': 'Sana (Yemen)', 'rank': 6}]",Washington,,,2018-11-02 23:30:24+00:00,World,"The passports, which consular officials said contained false or fraudulent names, were taken between December 2012 and June 2013, just as Yemen’s fragile political system began descending into chaos.",The New York Times,Middle East,News,nyt://article/e7fc773e-75e8-5e95-96da-211620ef0b99,https://www.nytimes.com/2018/11/02/world/middleeast/state-department-passports-yemen-citizens-.html,498,By Gardiner Harris and Liz Robbins,"State Dept. Improperly Seized Passports of Americans in Yemen, Inquiry Finds",,,"The American Embassy in Sana, Yemen, which was closed in 2015 as Yemen’s civil war intensified.",Mohammed Huwais/AFP/Getty Images,https://static01.nyt.com/images/2018/11/03/us/03DC-DIPLO/merlin_146241894_04a5651d-a210-4078-8406-6cced7fbae7d-articleLarge.jpg,419,600,https://static01.nyt.com/images/2018/11/03/us/03DC-DIPLO/merlin_146241894_04a5651d-a210-4078-8406-6cced7fbae7d-thumbStandard.jpg,75,75,"State Dept. Improperly Seized Passports of Americans in Yemen, Inquiry Finds","State Dept. Improperly Seized Passports of Americans in Yemen, Inquiry Finds The passports, which consular officials said contained false or fraudulent names, were taken between December 2012 and June 2013, just as Yemen’s fragile political system began descending into chaos. The passports, which consular officials said contained false or fraudulent names, were taken between December 2012 and June 2013, just as Yemen’s fragile political system began descending into chaos."
"Islamic State militants killed at least 40 Syrian fighters supported by the United States, captured several alive and regained territory.",article,nyt://article/587e2655-ea12-527c-80a2-cc1d2f22f6f9,"[{'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 1}, {'name': 'Organization', 'value': 'Syrian Democratic Forces', 'rank': 2}, {'name': 'Location', 'value': 'Syria', 'rank': 3}, {'name': 'Location', 'value': 'Deir al-Zour (Syria)', 'rank': 4}]",Foreign,,,2018-10-27 18:34:13+00:00,World,"Islamic State militants killed at least 40 Syrian fighters supported by the United States, captured several alive and regained territory.",The New York Times,Middle East,News,nyt://article/587e2655-ea12-527c-80a2-cc1d2f22f6f9,https://www.nytimes.com/2018/10/27/world/middleeast/syria-islamic-state.html,709,By The Associated Press,Dozens Dead in Eastern Syria After Clashes with Islamic State,,,"American-backed Syrian fighters last month in village of Sousa, which was recaptured by Islamic State militants on Saturday.",Delil Souleiman/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2018/10/28/world/28syria/merlin_143708145_a0b36957-35f4-4f97-9fa2-bae1de84ce2a-articleLarge.jpg,400,600,https://static01.nyt.com/images/2018/10/28/world/28syria/28syria-thumbStandard.jpg,75,75,Dozens Dead in Eastern Syria After Clashes with Islamic State,"Dozens Dead in Eastern Syria After Clashes with Islamic State Islamic State militants killed at least 40 Syrian fighters supported by the United States, captured several alive and regained territory. Islamic State militants killed at least 40 Syrian fighters supported by the United States, captured several alive and regained territory."
"Thousands gathered on Saturday morning to protest the state of the Italian capital, where garbage is piled high and where public buses catch on fire.",article,nyt://article/2e352def-623d-52f8-a1f8-f821888cbba1,"[{'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 1}, {'name': 'Location', 'value': 'Rome (Italy)', 'rank': 2}, {'name': 'Subject', 'value': 'Waste Materials and Disposal', 'rank': 3}, {'name': 'Person', 'value': 'Raggi, Virginia (1978- )', 'rank': 4}]",Foreign,8,A,2018-10-27 16:33:02+00:00,World,"Thousands gathered on Saturday morning to protest the state of the Italian capital, where garbage is piled high and where public buses catch on fire.",The New York Times,Europe,News,nyt://article/2e352def-623d-52f8-a1f8-f821888cbba1,https://www.nytimes.com/2018/10/27/world/europe/virginia-raggi-rome-garbage-rally.html,386,By Emma Johanningsmeier,Italians Protest in Rome About Dismal State of the City,,Italians Protest in Rome  About Dismal State of City,Protesters gathered outside the Italian capital&rsquo;s City Hall on Saturday. &ldquo;Rome says enough!&rdquo; they chanted.,Tony Gentile/Reuters,https://static01.nyt.com/images/2018/10/28/world/28rome-rally/merlin_145915704_01ed0758-7a5b-4d4a-8356-2a4c8f485007-articleLarge.jpg,395,600,https://static01.nyt.com/images/2018/10/28/world/28rome-rally/28rome-rally-thumbStandard.jpg,75,75,Italians Protest in Rome About Dismal State of the City,"Italians Protest in Rome About Dismal State of the City Thousands gathered on Saturday morning to protest the state of the Italian capital, where garbage is piled high and where public buses catch on fire. Thousands gathered on Saturday morning to protest the state of the Italian capital, where garbage is piled high and where public buses catch on fire."
"After days of emotional debate, lawmakers overturned an 1899 law that made abortion a criminal offense. “History has been made,” the premier said.",article,nyt://article/9d7808d5-a195-5737-ae4f-7ef3cc0069e3,"[{'name': 'Subject', 'value': 'Abortion', 'rank': 1}, {'name': 'Subject', 'value': 'Law and Legislation', 'rank': 2}, {'name': 'Subject', 'value': 'Women and Girls', 'rank': 3}, {'name': 'Location', 'value': 'Australia', 'rank': 4}, {'name': 'Location', 'value': 'Queensland (Australia)', 'rank': 5}]",Foreign,6,A,2018-10-17 13:43:15+00:00,World,"After days of emotional debate, lawmakers overturned an 1899 law that made abortion a criminal offense. “History has been made,” the premier said.",The New York Times,Australia,News,nyt://article/9d7808d5-a195-5737-ae4f-7ef3cc0069e3,https://www.nytimes.com/2018/10/17/world/australia/queensland-abortion-laws.html,598,By Rick Rojas,Queensland Becomes Latest Australian State to Decriminalize Abortion,,Queensland Votes to End A Law Against Abortion,"A rally in support of proposed changes to Queensland’s abortion laws in Brisbane, Australia, on Sunday.","Glenn Hunt/EPA, via Shutterstock",https://static01.nyt.com/images/2018/10/18/world/18oz-queensland/merlin_145278195_342cee6b-301c-445f-a9f8-04c6fbc81c95-articleLarge.jpg,400,600,https://static01.nyt.com/images/2018/10/18/world/18oz-queensland/18oz-queensland-thumbStandard.jpg,75,75,Queensland Becomes Latest Australian State to Decriminalize Abortion,"Queensland Becomes Latest Australian State to Decriminalize Abortion After days of emotional debate, lawmakers overturned an 1899 law that made abortion a criminal offense. “History has been made,” the premier said. After days of emotional debate, lawmakers overturned an 1899 law that made abortion a criminal offense. “History has been made,” the premier said."
