pub_date,headline,happs_score
2019-12-06,Claims of China’s Meddling Roil Taiwan Ahead of Elections,5.086666666666667
2019-11-04,Forger Claims Credit for Paintings in Prince Charles’s Charity Headquarters,5.805
2019-11-02,Mali Says 54 Are Killed in Jihadist Attack on Army; ISIS Claims Responsibility,4.49
2019-09-30,Both Afghan Candidates Claim the Lead Even Before Votes Are Tallied,5.493333333333333
2019-08-31,South Korean Lawmakers Visit Disputed Islets Claimed by Japan,5.608571428571429
2019-08-25,South Korea Launches Military Exercise for Islets Also Claimed by Japan,5.574000000000001
2019-08-19,Al-Bashir Trial in Sudan Opens with Claim of $90 Million Payment From Saudis,5.386666666666667
2019-08-01,"After Claiming Men Are ‘Seduced’ Into Rape, Malaysian Senator Apologizes",5.159999999999999
2019-07-30,Doubt Greets China’s Claim That Muslims Have Been Released From Camps,5.057777777777778
2019-07-29,Justice Dept. Moves to Block Asylum Claims Based on Family Ties,5.546666666666667
2019-07-26,U.K. Man Who Made Up Child Abuse Claims Is Sentenced to 18 Years,5.094545454545455
2019-07-19,Canada Earmarks $690 Million to Settle Claims of Sexual Misconduct in Military,5.506666666666667
2019-07-13,At Least 26 Dead in Somalia Hotel Attack Claimed by Shabab,4.42
2019-07-13,"Somalia Attack Claimed by Shabab Kills 10, Including Canadian Journalist",4.56
2019-06-27,Indonesia Court Rejects Presidential Candidate’s Voting Fraud Claims,4.64
2019-06-07,Case Against Boris Johnson Over Brexit Claims Dismissed in U.K. Court,4.4725
2019-05-29,Boris Johnson Is Summoned to Court Over Brexit Claims,4.8133333333333335
2019-05-15,Skeptical U.S. Allies Resist Trump’s New Claims of Threats From Iran,5.01
2019-05-13,Claim of Attacks on 4 Oil Vessels Raises Tensions in Middle East,4.930909090909091
2019-04-25,"Olympic Athletes’ Feud Goes Public, With Claims of Hotel Theft and Gym Attack",4.898
2019-04-23,"ISIS Claims Sri Lanka Attacks, and President Vows Shakeup",5.266666666666667
2019-04-23,"Grief, Anger and Recriminations in Sri Lanka as ISIS Claims It Staged Bomb Attacks",4.05
2019-04-19,ISIS Claims First Attack in the Democratic Republic of Congo,5.1825
2019-04-10,"Israel Voting Cameras Lowered Arab Turnout, Netanyahu Backers Claim",5.42
2019-04-02,"In Israel Campaign, All Sides Claim Fabled Voice From the Grave: Menachem Begin",5.435555555555556
2019-03-26,Pentagon Claims Success in Test of New Tactic to Down Incoming Missiles,5.0379999999999985
2019-03-22,"A Brief History of the Golan Heights, Claimed by Israel and Syria",5.208888888888889
