word,count,happs_score,stddev
claims,18,4.72,1.4434
taiwan,1,5.36,1.2739
ahead,1,6.08,1.3679
elections,1,4.48,1.5285
credit,1,5.86,1.6661
paintings,1,6.9,1.594
prince,2,6.44,1.3426
charity,1,6.4,1.906
headquarters,1,5.4,1.0102
says,14,5.28,1.1959
killed,11,1.56,1.2316
attack,6,2.42,1.4299
responsibility,2,5.72,1.6542
candidates,1,5.18,1.4803
claim,11,5.18,1.4941
lead,1,6.28,1.4574
votes,2,6.08,1.5758
south,5,6.16,1.6081
korean,2,5.48,1.4741
lawmakers,1,4.7,1.4604
visit,4,6.54,1.1988
claimed,11,5.4,1.178
japan,2,6.0,1.3093
korea,4,5.34,1.3793
launches,1,6.14,1.125
military,5,4.78,1.753
exercise,1,6.3,1.6444
trial,1,3.96,1.6898
opens,2,5.92,1.2752
million,4,7.38,1.427
payment,1,4.7,2.0025
men,1,5.94,1.3911
senator,1,4.58,1.4299
doubt,1,3.16,1.2675
muslims,2,4.3,1.3887
released,2,6.34,1.5201
camps,1,5.56,1.6801
justice,1,6.74,1.9568
moves,2,5.68,0.957
block,2,4.02,1.4213
based,1,5.26,0.7508
family,2,7.72,1.3099
ties,2,5.24,1.4507
man,2,5.9,1.4033
child,1,7.24,1.5592
abuse,3,1.88,1.2395
sentenced,1,3.7,1.6568
years,2,5.28,1.4714
canada,1,5.98,1.5318
settle,1,5.08,1.4405
sexual,1,6.2,1.4569
dead,2,2.0,1.3248
hotel,2,6.16,1.5954
kills,1,1.78,1.2337
including,1,5.96,0.9026
canadian,1,5.84,1.8556
journalist,1,5.54,1.3584
indonesia,1,5.08,1.7478
court,5,3.78,1.799
presidential,1,5.94,1.5174
voting,2,6.02,1.3775
fraud,2,2.3,1.1824
case,1,5.02,1.3013
johnson,3,5.4,1.3702
dismissed,2,3.14,1.1068
allies,1,6.5,1.2495
resist,1,4.74,1.6011
new,6,6.82,1.1373
threats,1,2.88,1.7687
iran,6,4.3,1.632
attacks,3,2.46,1.4598
oil,4,4.88,1.6368
vessels,1,5.24,1.4507
raises,1,6.66,1.6239
tensions,1,2.66,1.2554
middle,1,5.34,0.7174
east,1,5.82,1.2887
olympic,1,6.28,1.5654
goes,1,5.26,1.1214
theft,1,2.3,1.374
gym,1,5.96,1.5113
president,2,5.86,2.1094
anger,1,2.3,1.4178
bomb,1,1.96,1.2771
democratic,1,6.32,1.6591
republic,1,5.76,1.5851
israel,3,4.78,1.7296
cameras,1,6.62,1.2919
arab,1,4.5,1.594
sides,2,5.04,1.1773
voice,2,5.76,1.0606
begin,1,6.28,1.1256
pentagon,2,5.02,1.6098
success,1,7.86,1.6414
test,1,4.06,1.4057
missiles,1,2.82,1.5868
brief,1,5.5,1.2817
history,1,5.84,1.5032
quotes,1,5.6,1.3851
bible,1,6.48,1.9403
say,5,5.54,0.9941
christianity,1,5.92,2.2663
ice,1,5.8,1.4846
climate,1,5.8,1.4286
change,1,5.56,1.3426
police,1,4.58,1.8526
footage,1,5.68,1.0583
burned,1,2.9,1.4178
aid,2,6.24,1.3637
government,2,4.64,1.6383
fires,1,4.26,1.7357
election,3,5.18,1.3506
officials,2,4.76,1.3637
fact,1,5.9,1.3286
checking,1,5.2,1.3702
mexico,1,5.84,1.7186
sent,1,5.46,0.9082
border,1,4.9,1.488
victory,1,7.98,1.0784
proof,1,5.96,1.0683
russian,7,5.52,1.7052
evidence,1,5.64,1.2578
moscow,1,5.06,1.4201
deadly,3,2.9,1.8171
assault,1,2.56,1.6557
complex,1,5.04,1.5903
bombing,1,2.24,1.4786
capital,1,5.92,1.2428
divided,2,4.36,1.2739
pope,2,5.6,1.5649
john,1,5.08,1.1578
paul,1,5.44,1.2149
british,1,5.66,1.6977
leaders,1,5.88,1.3192
dispute,1,3.54,1.7286
fight,1,2.7,1.7409
foreign,1,5.68,1.6956
minister,2,5.18,1.4097
likely,2,6.44,1.2149
discuss,1,5.96,1.2282
nuclear,2,3.28,1.7847
arms,1,5.38,0.9875
trump,4,5.3,1.7053
dozens,2,5.7,1.2817
babies,1,7.46,1.5012
died,1,1.56,1.198
hospital,1,3.5,1.6194
report,32,4.76,1.3334
finds,8,5.94,1.2521
iraq,1,3.9,1.6568
times,2,5.58,1.1968
deny,1,3.44,1.3874
hillary,1,5.12,1.4234
clinton,1,5.68,1.5836
raps,1,4.65,1.7387
russia,2,5.5,1.374
tower,1,5.66,1.4086
response,1,5.68,1.2688
successor,1,6.0,1.4428
leader,2,6.38,1.3384
reported,9,5.12,1.2558
lion,1,6.18,1.6123
air,1,6.8,1.6537
crash,1,2.6,1.3702
numerous,1,6.08,1.1925
problems,1,2.92,1.5628
chile,1,5.74,1.3524
deaths,2,1.64,1.1386
violence,1,1.86,1.05
theory,1,5.42,1.4859
plane,2,6.3,1.632
north,4,5.52,1.2162
blocks,1,4.54,1.4172
windows,1,6.02,1.3923
tall,1,5.84,1.3607
buildings,1,5.62,1.3981
prevent,1,5.16,1.7998
reports,10,5.0,1.5119
egypt,1,6.26,1.1572
using,1,5.0,1.0498
apps,1,5.58,1.3415
track,1,5.14,1.143
target,1,5.36,1.5221
admitted,1,5.08,1.3529
affair,1,4.02,1.8349
civilians,4,5.64,1.1386
strike,1,3.96,1.3547
accused,2,2.92,1.5497
hurricane,1,2.54,1.5677
missing,2,2.98,1.3775
homeless,1,2.16,1.2835
children,2,7.12,1.3498
shipping,1,5.46,1.3126
english,1,6.58,1.4859
survived,1,6.88,1.4797
meeting,1,5.46,1.3433
need,1,4.84,1.4337
amid,3,5.08,1.14
ship,1,5.96,1.2282
service,1,6.0,1.1606
member,1,5.94,1.1141
afghanistan,2,3.56,1.7861
parliament,3,4.98,1.2856
workers,3,5.78,1.183
face,1,6.12,1.1718
general,1,5.32,1.1328
attempt,1,5.56,1.2961
power,1,6.68,1.4907
cases,1,4.82,0.919
bars,1,5.68,1.5836
correspondent,1,5.3,1.165
reporting,2,5.12,1.1718
executed,1,3.94,2.2023
schools,1,5.98,1.4356
shows,3,6.08,1.0467
group,1,5.92,1.2095
spread,1,5.48,1.1292
fake,1,2.9,1.2495
news,1,5.6,1.5518
online,1,6.72,1.2784
charles,1,5.22,1.3293
influence,1,5.64,1.2415
shield,1,5.76,1.3312
inquiry,1,4.66,1.3793
issues,1,3.9,1.374
rules,1,4.28,1.2296
catholic,1,5.3,1.8323
church,1,5.48,1.8543
worldwide,1,6.56,1.2643
sex,2,7.44,1.6801
releases,2,5.96,1.4702
reuters,1,5.18,1.3656
journalists,2,5.2,1.5119
forces,1,4.18,1.5868
global,1,6.0,1.4846
fall,1,4.04,1.9687
driven,1,5.96,1.2771
airlines,1,5.6,1.5908
pilots,1,5.8,1.4286
followed,1,5.46,1.2157
safety,1,6.18,1.7343
procedures,1,5.02,1.3013
praise,1,7.52,1.4741
unlikely,1,3.48,1.313
preparing,1,5.76,1.4078
commission,1,5.76,1.6483
final,1,5.02,1.7319
russians,1,5.2,1.3851
hope,1,7.38,1.3076
door,1,5.38,1.2103
improved,1,6.86,1.3554
changes,1,5.06,1.3157
economic,1,5.36,1.6874
results,1,5.9,1.374
israeli,2,4.82,1.746
delayed,1,3.24,1.1877
asia,1,6.22,1.9513
rape,1,1.44,0.7866
detailed,1,5.72,1.4988
defeated,1,2.74,1.6138
ground,1,5.26,1.2906
prominent,1,6.26,1.1031
french,3,5.96,1.5381
peace,1,7.86,1.3403
record,1,5.78,1.4039
civilian,1,5.64,1.5354
social,1,6.22,1.0359
media,3,5.62,1.8058
posts,1,5.32,1.1147
reveal,1,5.96,1.3547
nato,1,4.92,1.7004
religious,1,5.46,2.0123
india,2,6.42,1.9804
sweden,1,6.28,1.5124
ambassador,1,5.78,1.5687
china,2,5.4,1.7023
secret,1,4.84,1.6081
talks,1,5.82,1.207
free,1,7.96,1.261
publisher,1,5.82,1.0821
australian,2,6.26,1.2257
computer,1,7.24,1.3933
network,1,6.0,1.2778
blood,1,3.82,1.7922
plasma,1,5.78,1.5556
treatment,1,4.42,1.5398
banks,1,5.92,1.2428
crime,1,2.2,1.2617
control,1,5.38,1.4831
country,1,6.28,1.7148
visits,1,6.4,1.2936
missile,1,3.24,1.8905
development,1,6.38,1.4968
state,31,5.28,0.9697
emergency,4,3.06,1.7775
murder,1,1.48,1.015
investigation,2,4.02,1.4776
largely,1,5.96,1.0294
health,1,7.22,1.2501
risk,1,3.62,1.6399
experts,1,6.28,1.4434
islamic,7,4.66,1.5201
turkey,1,6.16,1.8111
sister,1,6.76,1.6483
chief,1,6.18,1.1551
white,2,6.28,1.5391
house,1,6.34,1.6239
wishes,1,7.2,1.2122
chinese,3,5.64,1.4813
diplomats,1,5.24,1.8578
meetings,1,4.8,1.5386
biggest,1,6.0,1.3248
hit,1,4.58,1.808
offer,1,6.62,1.028
accounts,1,4.96,1.4978
cause,1,5.22,1.0554
striking,1,4.7,1.8763
roads,1,5.8,1.1066
abortion,1,2.6,1.5253
revolution,1,5.34,1.394
ban,1,2.66,1.3188
jewish,2,5.72,1.0506
question,1,4.98,1.7319
shadows,1,5.12,1.7337
vote,1,5.8,1.5779
women,1,7.12,1.4658
terrorism,1,1.48,0.9089
rise,1,6.36,1.5618
native,1,6.02,1.4068
hint,1,6.04,1.5903
secrets,1,5.28,1.8187
linked,1,5.46,1.4028
death,1,1.54,1.2811
way,1,5.24,1.4223
end,1,4.36,1.7351
life,1,7.32,1.6956
support,1,6.44,1.4309
citizen,1,5.92,1.3827
gets,1,5.84,1.2993
sentence,1,5.22,1.4469
trying,2,5.78,1.1657
royal,1,5.82,1.6374
faces,1,6.2,1.4569
chaos,1,3.46,1.7867
fox,1,5.46,1.7168
hold,1,5.7,1.2164
live,1,6.84,1.5167
debate,1,4.94,1.5174
trade,1,6.18,1.0039
save,1,6.54,1.1643
