abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
"William J. Burns was in Warsaw on Monday, where he met with the head of Mossad, Israel’s spy agency, and the prime minister of Qatar, which has helped broker talks with Hamas.",article,nyt://article/bdb8e8d7-a45a-5402-98a9-b42941e305c7,"[{'name': 'Person', 'value': 'Burns, William J', 'rank': 1}, {'name': 'Organization', 'value': 'Central Intelligence Agency', 'rank': 2}, {'name': 'Organization', 'value': 'Mossad', 'rank': 3}, {'name': 'Subject', 'value': 'Kidnapping and Hostages', 'rank': 4}, {'name': 'Subject', 'value': 'Israel-Gaza War (2023- )', 'rank': 5}, {'name': 'Organization', 'value': 'Hamas', 'rank': 6}, {'name': 'Location', 'value': 'Qatar', 'rank': 7}]",Foreign,,,2023-12-18 13:42:17+00:00,World,"William J. Burns was in Warsaw on Monday, where he met with the head of Mossad, Israel’s spy agency, and the prime minister of Qatar, which has helped broker talks with Hamas.",The New York Times,Middle East,News,nyt://article/bdb8e8d7-a45a-5402-98a9-b42941e305c7,https://www.nytimes.com/2023/12/18/world/middleeast/cia-director-burns-israel-hostages-hamas-gaza-prisoners.html,493,By Julian E. Barnes,C.I.A. Director Discusses Resuming Hostage and Prisoner Exchanges Between Israel and Hamas,,,"The C.I.A. director, William J. Burns, on Capitol Hill in Washington in September.","Michael Reynolds/EPA, via Shutterstock",https://static01.nyt.com/images/2023/12/18/multimedia/18israel-hamas-hostage-talks-1-zjhk/18israel-hamas-hostage-talks-1-zjhk-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/12/18/multimedia/18israel-hamas-hostage-talks-1-zjhk/18israel-hamas-hostage-talks-1-zjhk-thumbStandard.jpg,75,75,C.I.A. Director Discusses Resuming Hostage and Prisoner Exchanges Between Israel and Hamas,"C.I.A. Director Discusses Resuming Hostage and Prisoner Exchanges Between Israel and Hamas William J. Burns was in Warsaw on Monday, where he met with the head of Mossad, Israel’s spy agency, and the prime minister of Qatar, which has helped broker talks with Hamas. William J. Burns was in Warsaw on Monday, where he met with the head of Mossad, Israel’s spy agency, and the prime minister of Qatar, which has helped broker talks with Hamas."
,article,nyt://article/fe3ada62-7b8a-508e-885e-03276d0c62e9,[],Foreign,,,2023-11-20 07:21:28+00:00,World,,The New York Times,Middle East,Live Blog Post,nyt://article/fe3ada62-7b8a-508e-885e-03276d0c62e9,https://www.nytimes.com/live/2023/11/20/world/israel-hamas-gaza-war-news/israel-hamas-china-peace-talks,446,By Vivian Nereim and Chris Buckley,China’s foreign minister meets with a Middle East delegation to discuss Gaza.,,,"China’s foreign minister, Wang Yi, center with officials from Saudi Arabia, Jordan, Egypt, Indonesia and the Palestinian Authority, in Beijing on Monday.",Pedro Pardo/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2023/11/20/multimedia/20israel-hamas-china-peace-talks-lvpg/20israel-hamas-china-peace-talks-lvpg-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/11/20/multimedia/20israel-hamas-china-peace-talks-lvpg/20israel-hamas-china-peace-talks-lvpg-thumbStandard.jpg,75,75,China’s foreign minister meets with a Middle East delegation to discuss Gaza.,China’s foreign minister meets with a Middle East delegation to discuss Gaza.
,article,nyt://article/ac321508-329f-5d3d-bfe1-aafa8dd8ddf4,[],Foreign,,,2023-11-09 16:36:48+00:00,World,,The New York Times,Middle East,Live Blog Post,nyt://article/ac321508-329f-5d3d-bfe1-aafa8dd8ddf4,https://www.nytimes.com/live/2023/11/09/world/israel-hamas-war-gaza/the-cia-director-and-the-israeli-intelligence-chief-met-with-qatari-officials-to-discuss-a-possible-hamas-hostage-deal,429,By Julian E. Barnes and Edward Wong,The C.I.A. director and the Israeli intelligence chief met with Qatari officials to discuss a possible Hamas hostage deal.,,,"William Burns, the C.I.A. director, during a congressional hearing last year. Mr. Burns met with Qatari officials on Thursday to discuss a deal to release American hostages being held by Hamas in Gaza.",Michael A. McCoy for The New York Times,https://static01.nyt.com/images/2023/11/09/multimedia/09israel-hamas-cia-hostage-egypt-topart-chgj/09israel-hamas-cia-hostage-egypt-topart-chgj-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/11/09/multimedia/09israel-hamas-cia-hostage-egypt-topart-chgj/09israel-hamas-cia-hostage-egypt-topart-chgj-thumbStandard.jpg,75,75,The C.I.A. director and the Israeli intelligence chief met with Qatari officials to discuss a possible Hamas hostage deal.,The C.I.A. director and the Israeli intelligence chief met with Qatari officials to discuss a possible Hamas hostage deal.
,article,nyt://article/88bfa905-10ad-53f4-a893-82103429a704,"[{'name': 'Subject', 'value': 'Israel-Gaza War (2023- )', 'rank': 1}, {'name': 'Organization', 'value': 'Hamas', 'rank': 2}, {'name': 'Subject', 'value': 'War and Armed Conflicts', 'rank': 3}, {'name': 'Location', 'value': 'Gaza Strip', 'rank': 4}, {'name': 'Person', 'value': 'Burns, William J', 'rank': 5}]",Washington,,,2023-11-08 23:17:27+00:00,World,,The New York Times,Middle East,Live Blog Post,nyt://article/88bfa905-10ad-53f4-a893-82103429a704,https://www.nytimes.com/live/2023/11/08/world/israel-hamas-war-gaza/hamas-is-discussing-the-possible-release-of-a-group-of-hostages-in-exchange-for-a-brief-pause-in-fighting-officials-say,541,By Julian E. Barnes and Edward Wong,"Hamas is discussing conditions for freeing a few hostages, officials say.",,,Around 240 hostages are believed to be held by Hamas and other Palestinian groups in Gaza.,Sergey Ponomarev for The New York Times,https://static01.nyt.com/images/2023/11/08/multimedia/08israel-hamas-pause-kmgj/08israel-hamas-pause-kmgj-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/11/08/multimedia/08israel-hamas-pause-kmgj/08israel-hamas-pause-kmgj-thumbStandard.jpg,75,75,"Hamas is discussing conditions for freeing a few hostages, officials say.","Hamas is discussing conditions for freeing a few hostages, officials say."
,article,nyt://article/545daeef-ab66-5a40-94aa-ca0013df4cb2,[],Foreign,,,2023-11-05 10:19:15+00:00,World,,The New York Times,Middle East,Live Blog Post,nyt://article/545daeef-ab66-5a40-94aa-ca0013df4cb2,https://www.nytimes.com/live/2023/11/05/world/israel-hamas-war-gaza-news/blinken-makes-an-unannounced-stop-in-the-west-bank,560,By Adam Entous,"Blinken and Abbas discussed efforts to restore calm in the West Bank, the U.S. says.",,,"Secretary of State Antony J. Blinken meeting with Mahmoud Abbas, the president of the internationally backed Palestinian Authority, on Sunday in Ramallah, in the Israeli-occupied West Bank.",Pool photo by Jonathan Ernst,https://static01.nyt.com/images/2023/11/05/multimedia/05israel-hamas-west-bank-swap-hqcg/05israel-hamas-west-bank-swap-hqcg-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/11/05/multimedia/05israel-hamas-west-bank-swap-hqcg/05israel-hamas-west-bank-swap-hqcg-thumbStandard.jpg,75,75,"Blinken and Abbas discussed efforts to restore calm in the West Bank, the U.S. says.","Blinken and Abbas discussed efforts to restore calm in the West Bank, the U.S. says."
The prime minister’s conversation with the tech billionaire was part of an effort this week to present Britain as a leader in artificial intelligence.,article,nyt://article/914f6892-02ae-59e7-843d-dc67a3de13b2,"[{'name': 'Person', 'value': 'Musk, Elon', 'rank': 1}, {'name': 'Person', 'value': 'Sunak, Rishi (1980- )', 'rank': 2}, {'name': 'Subject', 'value': 'Artificial Intelligence', 'rank': 3}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 4}, {'name': 'Subject', 'value': 'Computers and the Internet', 'rank': 5}, {'name': 'Subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 6}, {'name': 'Location', 'value': 'Great Britain', 'rank': 7}]",Business,,,2023-11-02 22:11:57+00:00,World,The prime minister’s conversation with the tech billionaire was part of an effort this week to present Britain as a leader in artificial intelligence.,The New York Times,Europe,News,nyt://article/914f6892-02ae-59e7-843d-dc67a3de13b2,https://www.nytimes.com/2023/11/02/world/europe/elon-musk-rishi-sunak-ai.html,878,By Adam Satariano,Elon Musk Discusses Perils and Benefits of A.I. With Rishi Sunak,,,Prime Minister Rishi Sunak of Britain and Elon Musk in London on Thursday.,Pool photo by Kirsty Wigglesworth,https://static01.nyt.com/images/2023/11/02/multimedia/02musk-sunak-1-mtwp/02musk-sunak-1-mtwp-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/11/02/multimedia/02musk-sunak-1-mtwp/02musk-sunak-1-mtwp-thumbStandard.jpg,75,75,Elon Musk Discusses Perils and Benefits of A.I. With Rishi Sunak,Elon Musk Discusses Perils and Benefits of A.I. With Rishi Sunak The prime minister’s conversation with the tech billionaire was part of an effort this week to present Britain as a leader in artificial intelligence. The prime minister’s conversation with the tech billionaire was part of an effort this week to present Britain as a leader in artificial intelligence.
,article,nyt://article/556bf04a-f141-5282-813c-bbc5eade9e46,[],Foreign,,,2023-10-18 11:40:45+00:00,World,,The New York Times,Middle East,Live Blog Post,nyt://article/556bf04a-f141-5282-813c-bbc5eade9e46,https://www.nytimes.com/live/2023/10/18/world/israel-hamas-war-biden-gaza/the-daily-discusses-bidens-trip-to-israel,62,By The Daily Team,The Daily discusses Biden’s trip to Israel.,,,,,,0,0,,0,0,The Daily discusses Biden’s trip to Israel.,The Daily discusses Biden’s trip to Israel.
"Officials of the breakaway region met with representatives of Azerbaijan to talk about the future of its residents, many of whom strongly resist the idea of coming under Azerbaijani rule.",article,nyt://article/f913fea5-a7a5-5652-a345-beb929235df1,"[{'name': 'Subject', 'value': 'Territorial Disputes', 'rank': 1}, {'name': 'Subject', 'value': 'International Relations', 'rank': 2}, {'name': 'Subject', 'value': 'War and Armed Conflicts', 'rank': 3}, {'name': 'Subject', 'value': 'Refugees and Displaced Persons', 'rank': 4}, {'name': 'Subject', 'value': 'Armenians', 'rank': 5}, {'name': 'Person', 'value': 'Aliyev, Ilham H', 'rank': 6}, {'name': 'Person', 'value': 'Pashinyan, Nikol', 'rank': 7}, {'name': 'Location', 'value': 'Armenia', 'rank': 8}, {'name': 'Location', 'value': 'Azerbaijan', 'rank': 9}, {'name': 'Location', 'value': 'Nagorno-Karabakh', 'rank': 10}]",Foreign,,,2023-09-21 10:51:04+00:00,World,"Officials of the breakaway region met with representatives of Azerbaijan to talk about the future of its residents, many of whom strongly resist the idea of coming under Azerbaijani rule.",The New York Times,Europe,News,nyt://article/f913fea5-a7a5-5652-a345-beb929235df1,https://www.nytimes.com/2023/09/21/world/europe/armenia-azerbaijan-nagorno-karabakh.html,722,By Ivan Nechepurenko,"After Surrender in Nagorno-Karabakh, Leaders Discuss Armenians’ Fate",,,"A photo released by the Azerbaijan State News Agency showed representatives of the Armenian community of Nagorno-Karabakh, Azerbaijan’s government and the Russian peacekeeping contingent meeting on Thursday.","Roman Ismailov/AZERTAC, via Associated Press",https://static01.nyt.com/images/2023/09/21/multimedia/21karabach-01-gkwq/21karabach-01-gkwq-articleLarge.jpg,399,600,https://static01.nyt.com/images/2023/09/21/multimedia/21karabach-01-gkwq/21karabach-01-gkwq-thumbStandard.jpg,75,75,"After Surrender in Nagorno-Karabakh, Leaders Discuss Armenians’ Fate","After Surrender in Nagorno-Karabakh, Leaders Discuss Armenians’ Fate Officials of the breakaway region met with representatives of Azerbaijan to talk about the future of its residents, many of whom strongly resist the idea of coming under Azerbaijani rule. Officials of the breakaway region met with representatives of Azerbaijan to talk about the future of its residents, many of whom strongly resist the idea of coming under Azerbaijani rule."
,article,nyt://article/4f7ba27c-5728-55ee-9f2f-fea452c0af6c,"[{'name': 'Subject', 'value': 'International Relations', 'rank': 1}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 2}, {'name': 'Subject', 'value': 'Speeches and Statements', 'rank': 3}, {'name': 'Location', 'value': 'Haiti', 'rank': 4}, {'name': 'Location', 'value': 'Kenya', 'rank': 5}, {'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 6}, {'name': 'Person', 'value': 'Biden, Joseph R Jr', 'rank': 7}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 8}, {'name': 'Organization', 'value': 'General Assembly (UN)', 'rank': 9}, {'name': 'Organization', 'value': 'United Nations', 'rank': 10}, {'name': 'Organization', 'value': 'Security Council (UN)', 'rank': 11}]",Foreign,,,2023-09-19 19:41:09+00:00,World,,The New York Times,,Live Blog Post,nyt://article/4f7ba27c-5728-55ee-9f2f-fea452c0af6c,https://www.nytimes.com/live/2023/09/19/world/united-nations-general-assembly/us-kenyan-and-haitian-officials-meet-on-the-sidelines-to-discuss-possible-security-mission-to-haiti,375,By Frances Robles,"U.S., Kenyan and Haitian officials meet on the sidelines to discuss possible security mission to Haiti.",,,"Thousands of residents of Port-au-Prince, Haiti, the nation’s capital, have been forced to flee their homes in order to escape from gangs who have taken over swaths of the city.",Odelyn Joseph/Associated Press,https://static01.nyt.com/images/2023/09/19/multimedia/19unga-blog-haiti-topart-gzmb/19unga-blog-haiti-topart-gzmb-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/09/19/multimedia/19unga-blog-haiti-topart-gzmb/19unga-blog-haiti-topart-gzmb-thumbStandard.jpg,75,75,"U.S., Kenyan and Haitian officials meet on the sidelines to discuss possible security mission to Haiti.","U.S., Kenyan and Haitian officials meet on the sidelines to discuss possible security mission to Haiti."
,article,nyt://article/33b69f0a-a373-54ee-b7fe-50200fb07b08,[],Foreign,,,2023-09-01 21:42:14+00:00,World,,The New York Times,,Live Blog Post,nyt://article/33b69f0a-a373-54ee-b7fe-50200fb07b08,https://www.nytimes.com/live/2023/09/01/world/russia-ukraine-news/a-us-official-meets-with-a-ukrainian-delegation-to-discuss-kyivs-anti-corruption-efforts,327,By Gaya Gupta,A U.S. official meets with a Ukrainian delegation to discuss Kyiv’s anti-corruption efforts.,,,"The national security adviser, Jake Sullivan, at a news briefing at Camp David on Aug. 18.",Evelyn Hockstein/Reuters,https://static01.nyt.com/images/2023/09/01/multimedia/01ukraine-briefing-corruption-zqtm/01ukraine-briefing-corruption-zqtm-articleLarge.jpg,400,600,https://static01.nyt.com/images/2023/09/01/multimedia/01ukraine-briefing-corruption-zqtm/01ukraine-briefing-corruption-zqtm-thumbStandard.jpg,75,75,A U.S. official meets with a Ukrainian delegation to discuss Kyiv’s anti-corruption efforts.,A U.S. official meets with a Ukrainian delegation to discuss Kyiv’s anti-corruption efforts.
