word,count,happs_score,stddev
claims,174,4.72,1.4434
major,2,5.76,1.4223
iraqi,10,3.96,1.3991
forces,9,4.18,1.5868
lay,1,5.58,1.2792
extreme,1,5.12,1.686
cold,2,4.22,1.7761
weather,2,5.88,1.5205
hundreds,7,5.96,1.6655
lives,4,6.22,1.148
navy,2,5.58,1.5131
beating,1,2.56,1.8969
death,13,1.54,1.2811
talks,12,5.82,1.207
seized,3,3.44,1.4591
claim,84,5.18,1.4941
deadly,24,2.9,1.8171
attack,50,2.42,1.4299
market,2,6.28,1.6041
pakistan,4,3.94,1.1502
kim,3,5.22,1.5817
north,33,5.52,1.2162
korea,30,5.34,1.3793
hydrogen,3,5.63,1.3798
bomb,9,1.96,1.2771
draws,4,6.18,1.32
responsibility,36,5.72,1.6542
baghdad,5,3.62,1.9048
iran,27,4.3,1.632
missile,5,3.24,1.8905
test,6,4.06,1.4057
opposition,2,3.48,1.2329
rare,2,6.02,1.7201
legislative,1,4.7,1.5419
majority,2,5.9,1.1112
cuba,7,4.98,1.4497
discuss,42,5.96,1.2282
property,3,5.86,1.5651
authorities,1,4.38,1.1586
groups,2,5.66,1.3032
history,5,5.84,1.5032
calling,1,5.74,1.2586
paris,4,6.86,1.6661
attacks,17,2.46,1.4598
corruption,9,2.14,1.3095
chip,2,5.42,1.0515
away,3,4.22,1.2664
trust,1,7.22,1.2337
sports,1,6.06,2.2352
killed,42,1.56,1.2316
dozens,9,5.7,1.2817
independence,1,7.28,1.5913
south,35,6.16,1.6081
china,50,5.4,1.7023
sea,10,6.94,1.2843
islands,2,6.58,1.9493
struck,1,3.5,1.4033
police,29,4.58,1.8526
publishers,2,5.68,1.2196
camp,7,6.26,1.5361
challenging,3,6.1,1.5419
chinese,41,5.64,1.4813
sends,2,5.92,0.9223
near,7,5.72,1.6041
artificial,1,3.9,1.5682
island,6,6.78,1.5425
chain,1,5.16,1.5301
fraud,7,2.3,1.1824
delay,1,3.38,1.3231
elections,6,4.48,1.5285
cities,3,5.58,1.4995
saudi,11,4.58,1.4299
prayer,1,6.48,2.2061
new,44,6.82,1.1373
branch,2,5.52,1.1471
canada,4,5.98,1.5318
stephen,1,5.54,1.1817
office,4,5.12,1.6243
