pub_date,headline,happs_score
2016-12-23,"‘Worst Annual Death Toll Ever’: Mediterranean Claims 5,000 Migrants",3.8999999999999995
2016-12-20,ISIS Is Said to Claim Responsibility for Deadly Attack in Jordan,4.792
2016-12-20,Germany Releases Berlin Attack Suspect as ISIS Claims Involvement,4.7875
2016-12-14,ISIS Claims Responsibility for Egypt Church Bombing and Warns of More to Come,5.167272727272727
2016-12-11,Kurdish Militant Group Claims Responsibility for Deadly Istanbul Bombing,4.453333333333333
2016-12-08,"Claims Against South Korean President: Extortion, Abuse of Power and Bribery",4.81
2016-11-18,"Silenced for Decades, ‘Victims of Despotism’ Air Torture Claims in Tunisia",4.793333333333333
2016-11-16,Afghan Bodyguards Targeted in Bombing Claimed by ISIS Affiliates,4.53
2016-10-28,Unrest in Kashmir Claims New Casualties: Schools,5.755
2016-10-25,"Militants Bomb Kenya Hotel, Killing 12; Shabab Claim Responsibility",3.6399999999999997
2016-10-19,Siberian Town Stakes a Claim as Humanity’s Cradle,5.446666666666666
2016-10-05,"Theresa May, British Premier, Urges Conservatives to Claim ‘New Center Ground’",5.04
2016-10-05,Video May Contradict Ex-ISIS Member’s Claim on Rejecting Violence,4.912
2016-09-29,India Claims ‘Surgical Strikes’ Across Line of Control in Kashmir,5.268571428571429
2016-09-22,Professed Hit Man Tempers Claims of Rodrigo Duterte’s Role in Philippine Killings,4.731428571428571
2016-09-13,Israel Denies Claims That Syria Shot Down Warplane and Drone,4.303333333333334
2016-09-09,Decoding North Korea’s Claim of a Successful Nuclear Test,5.1971428571428575
2016-08-31,Russia Claims Credit for Killing Senior ISIS Leader in Syria,5.0649999999999995
2016-08-30,Truck Bomb Kills 15 in Somalia; Shabab Claim Responsibility,4.27
2016-08-24,Angry Claims and Furious Denials Over Organ Transplants in China,4.777142857142857
2016-08-19,Chinese Claim That World Accepts Its Organ Transplant System Is Rebutted,5.3975
2016-08-11,"Julian Assange to Be Questioned by Sweden Over Rape Claim, Ecuador Says",4.7125
2016-08-10,U.S.-Backed Militias in Libya Claim to Retake ISIS Stronghold of Surt,5.15
