abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
"Many previous cease-fire agreements have failed, but the dynamics have changed since pro-government forces fully retook Aleppo.",article,nyt://article/3fc01136-3b74-5f8a-a335-4693e628d0ba,"[{'name': 'Person', 'value': 'MacFarqhuar, Neil', 'rank': 1}, {'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 2}, {'name': 'Person', 'value': 'Hubbard, Ben', 'rank': 3}, {'name': 'Location', 'value': 'Syria', 'rank': 4}, {'name': 'Location', 'value': 'Russia', 'rank': 5}, {'name': 'Location', 'value': 'Turkey', 'rank': 6}, {'name': 'Person', 'value': 'Assad, Bashar al-', 'rank': 7}, {'name': 'Location', 'value': 'Aleppo (Syria)', 'rank': 8}]",Foreign,13,A,2016-12-29 12:18:30+00:00,World,"Many previous cease-fire agreements have failed, but the dynamics have changed since pro-government forces fully retook Aleppo.",The New York Times,Middle East,News,nyt://article/3fc01136-3b74-5f8a-a335-4693e628d0ba,https://www.nytimes.com/2016/12/29/world/middleeast/syria-cease-fire.html,1238,By Ben Hubbard and Neil MacFarquhar,"New Cease-Fire Begins in Syria, but Violations Are Reported Within Hours",,"New Cease-Fire Begins in Syria, but Violations Are Reported Within Hours","The body of a 15-year-old girl at a makeshift morgue on Thursday in the rebel-held town of Douma, Syria, on the outskirts of Damascus, after reports of airstrikes.",Abd Doumany/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2016/12/30/world/30Syria/30Syria-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/30/world/30Syria/30Syria-thumbStandard.jpg,75,75,"New Cease-Fire Begins in Syria, but Violations Are Reported Within Hours","New Cease-Fire Begins in Syria, but Violations Are Reported Within Hours Many previous cease-fire agreements have failed, but the dynamics have changed since pro-government forces fully retook Aleppo. Many previous cease-fire agreements have failed, but the dynamics have changed since pro-government forces fully retook Aleppo."
"The protesters, in Kinshasa and other cities, were demanding that President Joseph Kabila step down after his second term expired with no election scheduled.",article,nyt://article/7c148a6b-5d02-5729-86db-ac585918ce32,"[{'name': 'Location', 'value': 'Congo, Democratic Republic of (Congo-Kinshasa)', 'rank': 1}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 2}, {'name': 'Subject', 'value': 'Deaths (Fatalities)', 'rank': 3}, {'name': 'Person', 'value': 'Kabila, Joseph', 'rank': 4}]",Foreign,6,A,2016-12-21 03:28:10+00:00,World,"The protesters, in Kinshasa and other cities, were demanding that President Joseph Kabila step down after his second term expired with no election scheduled.",The New York Times,Africa,News,nyt://article/7c148a6b-5d02-5729-86db-ac585918ce32,https://www.nytimes.com/2016/12/20/world/africa/congo-joseph-kabila-protests.html,255,By Reuters,At Least 20 Reported Dead as Congolese Security Forces Fire on Protesters,,Congo Protesters Reported Dead,"Scattered protests started on Tuesday in Kinshasa, Democratic Republic of Congo.",Eduardo Soteras/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2016/12/22/world/21CONGO-1/21CONGO-1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/22/world/21CONGO-1/21CONGO-1-thumbStandard.jpg,75,75,At Least 20 Reported Dead as Congolese Security Forces Fire on Protesters,"At Least 20 Reported Dead as Congolese Security Forces Fire on Protesters The protesters, in Kinshasa and other cities, were demanding that President Joseph Kabila step down after his second term expired with no election scheduled. The protesters, in Kinshasa and other cities, were demanding that President Joseph Kabila step down after his second term expired with no election scheduled."
But the Committee to Protect Journalists said those killed unintentionally in combat accounted for a majority of the deaths for the first time since 1992.,article,nyt://article/40e22812-be81-5812-b28c-06f64aa8ec97,"[{'name': 'Organization', 'value': 'Committee to Protect Journalists', 'rank': 1}, {'name': 'Person', 'value': 'Gladstone, Rick', 'rank': 2}, {'name': 'Subject', 'value': 'Deaths (Fatalities)', 'rank': 3}, {'name': 'Subject', 'value': 'News and News Media', 'rank': 4}, {'name': 'Subject', 'value': 'Murders, Attempted Murders and Homicides', 'rank': 5}, {'name': 'Subject', 'value': 'False Arrests, Convictions and Imprisonments', 'rank': 6}, {'name': 'Location', 'value': 'Syria', 'rank': 7}, {'name': 'Location', 'value': 'Iraq', 'rank': 8}, {'name': 'Location', 'value': 'Afghanistan', 'rank': 9}, {'name': 'Subject', 'value': 'Freedom of the Press', 'rank': 10}]",Foreign,6,A,2016-12-19 17:29:46+00:00,World,But the Committee to Protect Journalists said those killed unintentionally in combat accounted for a majority of the deaths for the first time since 1992.,The New York Times,Americas,News,nyt://article/40e22812-be81-5812-b28c-06f64aa8ec97,https://www.nytimes.com/2016/12/19/world/americas/fewer-journalists-died-on-the-job-this-year-group-reports.html,333,By Rick Gladstone,"Fewer Journalists Were Killed on the Job This Year, Group Reports",,"Journalist Deaths Fell This Year, Group Says",,,,0,0,,0,0,"Fewer Journalists Were Killed on the Job This Year, Group Reports","Fewer Journalists Were Killed on the Job This Year, Group Reports But the Committee to Protect Journalists said those killed unintentionally in combat accounted for a majority of the deaths for the first time since 1992. But the Committee to Protect Journalists said those killed unintentionally in combat accounted for a majority of the deaths for the first time since 1992."
Times journalists reported from more than 150 countries over the last year.,article,nyt://article/9cbd8d4e-19d4-5987-9dbb-32a6768b9642,"[{'name': 'Location', 'value': 'Beijing (China)', 'rank': 1}, {'name': 'Location', 'value': 'British Columbia (Canada)', 'rank': 2}, {'name': 'Location', 'value': 'Europe', 'rank': 3}, {'name': 'Location', 'value': 'Far East, South and Southeast Asia and Pacific Areas', 'rank': 4}, {'name': 'Location', 'value': 'Idomeni (Greece)', 'rank': 5}, {'name': 'Location', 'value': 'Tarawa (Kiribati)', 'rank': 6}]",Foreign,,,2016-12-17 10:56:15+00:00,World,Times journalists reported from more than 150 countries over the last year.,The New York Times,,News,nyt://article/9cbd8d4e-19d4-5987-9dbb-32a6768b9642,https://www.nytimes.com/2016/12/17/world/we-were-there.html,432,By The New York Times,We Were There: Reports From Our Far-Flung Correspondents in 2016,,,"Tabwena Kaokatekai, 42, of Buariki, a village in North Tarawa, with her newly planted mangrove trees. Erosion along the beach here has already toppled dozens of coconut trees into the ocean.",Josh Haner/The New York Times,https://static01.nyt.com/images/2016/06/26/world/26kiribati-slideshwo-slide-A7R4/26kiribati-slideshwo-slide-A7R4-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/06/26/world/26kiribati-slideshwo-slide-A7R4/26kiribati-slideshwo-slide-A7R4-thumbStandard.jpg,75,75,We Were There: Reports From Our Far-Flung Correspondents in 2016,We Were There: Reports From Our Far-Flung Correspondents in 2016 Times journalists reported from more than 150 countries over the last year. Times journalists reported from more than 150 countries over the last year.
"A review that the government refuses to release found that suspects had been arrested and moved illegally, jeopardizing any criminal case in the 2014 disappearance.",article,nyt://article/68bb9102-f97b-5285-ab97-57978aff8f11,"[{'name': 'Organization', 'value': 'Escuela Normal Rural Raul Isidro Burgos (Guerrero, Mexico)', 'rank': 1}, {'name': 'Location', 'value': 'Iguala (Mexico)', 'rank': 2}, {'name': 'Location', 'value': 'Mexico', 'rank': 3}, {'name': 'Organization', 'value': 'Guerreros Unidos (Gang)', 'rank': 4}, {'name': 'Person', 'value': 'Zeron de Lucio, Tomas', 'rank': 5}, {'name': 'Subject', 'value': 'Police Brutality, Misconduct and Shootings', 'rank': 6}, {'name': 'Subject', 'value': 'Missing Persons', 'rank': 7}, {'name': 'Subject', 'value': 'Kidnapping and Hostages', 'rank': 8}]",Foreign,14,A,2016-12-15 23:05:21+00:00,World,"A review that the government refuses to release found that suspects had been arrested and moved illegally, jeopardizing any criminal case in the 2014 disappearance.",The New York Times,Americas,News,nyt://article/68bb9102-f97b-5285-ab97-57978aff8f11,https://www.nytimes.com/2016/12/15/world/americas/Iguala-mexico-missing-students-report.html,1295,By Paulina Villegas and Elisabeth Malkin,Mexican Report Says Investigators Botched Search for 43 Students,,Mexican Report Says Investigators Botched Search for 43 Students,"In April, members of the families of 43 college students who disappeared in 2014 and their supporters marched in Mexico City.",Rebecca Blackwell/Associated Press,https://static01.nyt.com/images/2016/12/16/world/mexicostudents/mexicostudents-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/16/world/mexicostudents/mexicostudents-thumbStandard.jpg,75,75,Mexican Report Says Investigators Botched Search for 43 Students,"Mexican Report Says Investigators Botched Search for 43 Students A review that the government refuses to release found that suspects had been arrested and moved illegally, jeopardizing any criminal case in the 2014 disappearance. A review that the government refuses to release found that suspects had been arrested and moved illegally, jeopardizing any criminal case in the 2014 disappearance."
"A Pew Research Center survey of 151 countries found wide gaps in education among major religions, including among Christians and minority faiths in the United States.",article,nyt://article/0ffe0abe-0d36-520c-80b8-c74599624fbc,"[{'name': 'Subject', 'value': 'Education', 'rank': 1}, {'name': 'Subject', 'value': 'Religion and Belief', 'rank': 2}, {'name': 'Organization', 'value': 'Pew Research Center', 'rank': 3}, {'name': 'Subject', 'value': 'Research', 'rank': 4}, {'name': 'Subject', 'value': 'Immigration and Emigration', 'rank': 5}, {'name': 'Subject', 'value': 'Christians and Christianity', 'rank': 6}, {'name': 'Subject', 'value': 'Jews and Judaism', 'rank': 7}, {'name': 'Subject', 'value': 'Muslims and Islam', 'rank': 8}, {'name': 'Subject', 'value': 'Muslim Americans', 'rank': 9}, {'name': 'Subject', 'value': 'Hinduism', 'rank': 10}, {'name': 'Subject', 'value': 'Buddhism', 'rank': 11}, {'name': 'Subject', 'value': 'Gender', 'rank': 12}, {'name': 'Subject', 'value': 'Atheism', 'rank': 13}]",National,,,2016-12-13 15:00:26+00:00,World,"A Pew Research Center survey of 151 countries found wide gaps in education among major religions, including among Christians and minority faiths in the United States.",The New York Times,,News,nyt://article/0ffe0abe-0d36-520c-80b8-c74599624fbc,https://www.nytimes.com/2016/12/13/world/christians-educated-religious-minorities-pew.html,904,By Liam Stack,"Christians in U.S. Are Less Educated Than Religious Minorities, Report Says",,,"There were 267 million Christians in the United States when the data was collected, but only 36 percent of them had a postsecondary education.",Luke Sharrett for The New York Times,https://static01.nyt.com/images/2016/12/13/us/14xp-religionsurvey/14xp-religionsurvey-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/13/us/14xp-religionsurvey/14xp-religionsurvey-thumbStandard.jpg,75,75,"Christians in U.S. Are Less Educated Than Religious Minorities, Report Says","Christians in U.S. Are Less Educated Than Religious Minorities, Report Says A Pew Research Center survey of 151 countries found wide gaps in education among major religions, including among Christians and minority faiths in the United States. A Pew Research Center survey of 151 countries found wide gaps in education among major religions, including among Christians and minority faiths in the United States."
"Ms. Jayaram, the leader of the governing party of the state of Tamil Nadu, was beloved by her followers and inspired frenzied emotions in some of them.",article,nyt://article/3a9eb8b7-8049-59c3-9c85-e089dfa8bc3b,"[{'name': 'Person', 'value': 'Jayaram, Jayalalitha', 'rank': 1}, {'name': 'Location', 'value': 'Tamil Nadu (India)', 'rank': 2}, {'name': 'Location', 'value': 'India', 'rank': 3}, {'name': 'Location', 'value': 'Chennai (India)', 'rank': 4}]",Foreign,,,2016-12-10 19:27:42+00:00,World,"Ms. Jayaram, the leader of the governing party of the state of Tamil Nadu, was beloved by her followers and inspired frenzied emotions in some of them.",The New York Times,Asia Pacific,News,nyt://article/3a9eb8b7-8049-59c3-9c85-e089dfa8bc3b,https://www.nytimes.com/2016/12/10/world/asia/india-jayalalithaa-jayaram.html,402,By Ellen Barry and Hari Kumar,Suicides Reported in India After Death of Jayalalithaa Jayaram,,,"A supporter of Jayalalithaa Jayaram, the Tamil Nadu leader who died on Monday, cried next to Ms. Jayaram’s burial place in Chennai, India.",Aijaz Rahi/Associated Press,https://static01.nyt.com/images/2016/12/11/world/11INDIA/11INDIA-articleLarge.jpg,405,600,https://static01.nyt.com/images/2016/12/11/world/11INDIA/11INDIA-thumbStandard.jpg,75,75,Suicides Reported in India After Death of Jayalalithaa Jayaram,"Suicides Reported in India After Death of Jayalalithaa Jayaram Ms. Jayaram, the leader of the governing party of the state of Tamil Nadu, was beloved by her followers and inspired frenzied emotions in some of them. Ms. Jayaram, the leader of the governing party of the state of Tamil Nadu, was beloved by her followers and inspired frenzied emotions in some of them."
"Antigovernment activists in the city were sending increasingly desperate messages about being killed or arrested, and civilians called for safe passage out.",article,nyt://article/242a8095-31f9-5925-80ee-6ba0a9bcafc4,"[{'name': 'Person', 'value': 'Barnard, Anne', 'rank': 1}, {'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 2}, {'name': 'Location', 'value': 'Aleppo (Syria)', 'rank': 3}, {'name': 'Location', 'value': 'Syria', 'rank': 4}]",Foreign,4,A,2016-12-07 12:10:36+00:00,World,"Antigovernment activists in the city were sending increasingly desperate messages about being killed or arrested, and civilians called for safe passage out.",The New York Times,Middle East,News,nyt://article/242a8095-31f9-5925-80ee-6ba0a9bcafc4,https://www.nytimes.com/2016/12/07/world/middleeast/syria-aleppo.html,1178,By Anne Barnard,"In Rebel-Held Aleppo, Residents Report Increasing Desperation",,Syrian Troops Are Said to Drive Deeper Into Rebel Areas of Aleppo,"A view of Aleppo, Syria, on Wednesday showed smoke rising after shelling on neighborhoods in the Old City.",George Ourfalian/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2016/12/08/world/08syria3/08syria3-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/08/world/08syria3/08syria3-thumbStandard.jpg,75,75,"In Rebel-Held Aleppo, Residents Report Increasing Desperation","In Rebel-Held Aleppo, Residents Report Increasing Desperation Antigovernment activists in the city were sending increasingly desperate messages about being killed or arrested, and civilians called for safe passage out. Antigovernment activists in the city were sending increasingly desperate messages about being killed or arrested, and civilians called for safe passage out."
"Mr. Annan, the former head of the United Nations who leads a commission that was formed to study conditions in restive Rakhine State, urged security services to follow the “rule of law.”",article,nyt://article/d50d23bc-84fb-5f99-9191-bbf4b310bb5a,"[{'name': 'Person', 'value': 'Ives, Mike', 'rank': 1}, {'name': 'Subject', 'value': 'Rohingya (Ethnic Group)', 'rank': 2}, {'name': 'Person', 'value': 'Annan, Kofi', 'rank': 3}, {'name': 'Location', 'value': 'Rakhine State (Myanmar)', 'rank': 4}, {'name': 'Location', 'value': 'Myanmar', 'rank': 5}]",Foreign,10,A,2016-12-06 17:30:46+00:00,World,"Mr. Annan, the former head of the United Nations who leads a commission that was formed to study conditions in restive Rakhine State, urged security services to follow the “rule of law.”",The New York Times,Asia Pacific,News,nyt://article/d50d23bc-84fb-5f99-9191-bbf4b310bb5a,https://www.nytimes.com/2016/12/06/world/asia/kofi-annan-myanmar-rohingya.html,1050,By Mike Ives,"Kofi Annan, in Myanmar, Voices Concern Over Reported Abuses of Rohingya",,Former U.N. Chief Voices Concern in Myanmar on Rohingya,"Kofi Annan, former secretary general of the United Nations, after a news conference in Yangon, Myanmar, on Tuesday.",Lynn Bo Bo/European Pressphoto Agency,https://static01.nyt.com/images/2016/12/07/world/07Myanmar/07Myanmar-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/07/world/07Myanmar/07Myanmar-thumbStandard.jpg,75,75,"Kofi Annan, in Myanmar, Voices Concern Over Reported Abuses of Rohingya","Kofi Annan, in Myanmar, Voices Concern Over Reported Abuses of Rohingya Mr. Annan, the former head of the United Nations who leads a commission that was formed to study conditions in restive Rakhine State, urged security services to follow the “rule of law.” Mr. Annan, the former head of the United Nations who leads a commission that was formed to study conditions in restive Rakhine State, urged security services to follow the “rule of law.”"
"Evidence collected in secret Communist Party investigations, using threats and torture, is often repurposed for criminal cases, Human Rights Watch said.",article,nyt://article/73f78181-6cef-5d21-863a-4a42228aaa1f,"[{'name': 'Location', 'value': 'China', 'rank': 1}, {'name': 'Subject', 'value': 'Corruption (Institutional)', 'rank': 2}, {'name': 'Subject', 'value': 'Torture', 'rank': 3}, {'name': 'Organization', 'value': 'Human Rights Watch', 'rank': 4}, {'name': 'Subject', 'value': 'Human Rights and Human Rights Violations', 'rank': 5}, {'name': 'Organization', 'value': 'Communist Party of China', 'rank': 6}, {'name': 'Subject', 'value': 'Confessions', 'rank': 7}, {'name': 'Person', 'value': 'Xi Jinping', 'rank': 8}, {'name': 'Subject', 'value': 'Interrogations', 'rank': 9}, {'name': 'Subject', 'value': 'False Arrests, Convictions and Imprisonments', 'rank': 10}]",Foreign,,,2016-12-06 08:16:31+00:00,World,"Evidence collected in secret Communist Party investigations, using threats and torture, is often repurposed for criminal cases, Human Rights Watch said.",The New York Times,Asia Pacific,News,nyt://article/73f78181-6cef-5d21-863a-4a42228aaa1f,https://www.nytimes.com/2016/12/06/world/asia/china-torture-human-rights-watch.html,1051,By Chris Buckley,"Confessions Made Under Duress Tarnish China’s Graft Fight, Report Says",,,"Zhou Wangyan, a former land bureau official in Liling, China, in 2014. Mr. Zhou said that he was detained and tortured under the Communist Party’s secretive “shuanggui” program. A report released Tuesday by Human Rights Watch said that such claims were far from uncommon.",Andy Wong/Associated Press,https://static01.nyt.com/images/2016/12/07/world/07CHINA-1/07CHINA-1-articleLarge.jpg,410,600,https://static01.nyt.com/images/2016/12/07/world/07CHINA-1/07CHINA-1-thumbStandard.jpg,75,75,"Confessions Made Under Duress Tarnish China’s Graft Fight, Report Says","Confessions Made Under Duress Tarnish China’s Graft Fight, Report Says Evidence collected in secret Communist Party investigations, using threats and torture, is often repurposed for criminal cases, Human Rights Watch said. Evidence collected in secret Communist Party investigations, using threats and torture, is often repurposed for criminal cases, Human Rights Watch said."
