abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
Some of the major developments in Syria surrounding a cease-fire agreement reached Thursday.,interactive,nyt://interactive/30e95c7f-87f8-553d-9715-251fd6f79563,"[{'name': 'Location', 'value': 'Syria', 'rank': 1}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 2}, {'name': 'Location', 'value': 'Turkey', 'rank': 3}, {'name': 'Location', 'value': 'Russia', 'rank': 4}]",,,,2016-12-30 03:30:56+00:00,World,Some of the major developments in Syria surrounding a cease-fire agreement reached Thursday.,The New York Times,Middle East,Interactive Feature,nyt://interactive/30e95c7f-87f8-553d-9715-251fd6f79563,https://www.nytimes.com/interactive/2016/12/29/world/middleeast/state-of-war-in-syria.html,0,By SARAH ALMUKHTAR and DEREK WATKINS,The State of the War in Syria,,,,,https://static01.nyt.com/images/2016/12/29/world/middleeast/state-of-war-in-syria-1483051586913/state-of-war-in-syria-1483051586913-articleLarge.png,483,600,https://static01.nyt.com/images/2016/12/29/world/middleeast/state-of-war-in-syria-1483051586913/state-of-war-in-syria-1483051586913-thumbStandard.png,75,75,The State of the War in Syria,The State of the War in Syria Some of the major developments in Syria surrounding a cease-fire agreement reached Thursday. Some of the major developments in Syria surrounding a cease-fire agreement reached Thursday.
The two-state solution has for decades been the primary focus of efforts to achieve peace in the Israeli-Palestinian conflict. Here’s a basic guide.,article,nyt://article/376079eb-9f7e-5bb7-b97a-5fa7ec2bc71d,"[{'name': 'Subject', 'value': 'Palestinians', 'rank': 1}, {'name': 'Person', 'value': 'Fisher, Max', 'rank': 2}, {'name': 'Location', 'value': 'Israel', 'rank': 3}, {'name': 'Subject', 'value': 'Israeli Settlements', 'rank': 4}, {'name': 'Organization', 'value': 'Palestinian Authority', 'rank': 5}, {'name': 'Location', 'value': 'West Bank', 'rank': 6}]",Foreign,10,A,2016-12-29 18:44:19+00:00,World,The two-state solution has for decades been the primary focus of efforts to achieve peace in the Israeli-Palestinian conflict. Here’s a basic guide.,The New York Times,Middle East,News,nyt://article/376079eb-9f7e-5bb7-b97a-5fa7ec2bc71d,https://www.nytimes.com/2016/12/29/world/middleeast/israel-palestinians-two-state-solution.html,1261,By Max Fisher,The Two-State Solution: What It Is and Why It Hasn’t Happened,The Interpreter,The Two-State Solution: What It Is and Why It Still Hasn’t Happened,A construction site in the Israeli settlement of Efrat in the West Bank.,Baz Ratner/Reuters,https://static01.nyt.com/images/2016/12/30/world/30int-ISRAEL/30int-ISRAEL-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/30/world/30int-ISRAEL/30int-ISRAEL-thumbStandard.jpg,75,75,The Two-State Solution: What It Is and Why It Hasn’t Happened,The Two-State Solution: What It Is and Why It Hasn’t Happened The two-state solution has for decades been the primary focus of efforts to achieve peace in the Israeli-Palestinian conflict. Here’s a basic guide. The two-state solution has for decades been the primary focus of efforts to achieve peace in the Israeli-Palestinian conflict. Here’s a basic guide.
"The Security Council vote condemning Israeli settlements, which the United States did not block, could force Israel’s prime minister to make a choice.",article,nyt://article/27ff2318-af46-5ca2-be82-989cb8d33a53,"[{'name': 'Location', 'value': 'Israel', 'rank': 1}, {'name': 'Person', 'value': 'Kershner, Isabel', 'rank': 2}, {'name': 'Subject', 'value': 'Palestinians', 'rank': 3}, {'name': 'Person', 'value': 'Netanyahu, Benjamin', 'rank': 4}, {'name': 'Person', 'value': 'Obama, Barack', 'rank': 5}, {'name': 'Person', 'value': 'Kerry, John', 'rank': 6}, {'name': 'Organization', 'value': 'Security Council (UN)', 'rank': 7}, {'name': 'Subject', 'value': 'Israeli Settlements', 'rank': 8}, {'name': 'Person', 'value': 'Bennett, Naftali', 'rank': 9}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 10}, {'name': 'Organization', 'value': 'United Nations', 'rank': 11}]",Foreign,4,A,2016-12-25 16:19:40+00:00,World,"The Security Council vote condemning Israeli settlements, which the United States did not block, could force Israel’s prime minister to make a choice.",The New York Times,Middle East,News,nyt://article/27ff2318-af46-5ca2-be82-989cb8d33a53,https://www.nytimes.com/2016/12/25/world/middleeast/netanyahu-accuses-obama-of-orchestrating-un-resolution.html,1131,By Isabel Kershner,Israel Wonders How Long Netanyahu Can Back Settlements and Two-State Solution,,Israel Wonders if Netanyahu Will Have to Play His Hand,Israeli Prime Minister Benjamin Netanyahu attending the weekly cabinet meeting at his Jerusalem office on Sunday.,Pool photo by Dan Balilty,https://static01.nyt.com/images/2016/12/26/world/26israel/26israel-articleLarge.jpg,402,600,https://static01.nyt.com/images/2016/12/26/world/26israel/26israel-thumbStandard-v2.jpg,75,75,Israel Wonders How Long Netanyahu Can Back Settlements and Two-State Solution,"Israel Wonders How Long Netanyahu Can Back Settlements and Two-State Solution The Security Council vote condemning Israeli settlements, which the United States did not block, could force Israel’s prime minister to make a choice. The Security Council vote condemning Israeli settlements, which the United States did not block, could force Israel’s prime minister to make a choice."
"Mr. Friedman, a bankruptcy lawyer, supports expanded settlements in the West Bank and has accused the Obama administration of anti-Semitism.",article,nyt://article/666d56be-b36e-5a19-b417-b7ee5d0ed822,"[{'name': 'Subject', 'value': 'United States International Relations', 'rank': 1}, {'name': 'Person', 'value': 'Stolberg, Sheryl Gay', 'rank': 2}, {'name': 'Person', 'value': 'Friedman, David M', 'rank': 3}, {'name': 'Person', 'value': 'Kershner, Isabel', 'rank': 4}, {'name': 'Subject', 'value': 'Diplomatic Service, Embassies and Consulates', 'rank': 5}, {'name': 'Subject', 'value': 'Jews and Judaism', 'rank': 6}, {'name': 'Subject', 'value': 'Israeli Settlements', 'rank': 7}, {'name': 'Location', 'value': 'Israel', 'rank': 8}, {'name': 'Person', 'value': 'Trump, Donald J', 'rank': 9}]",National,1,A,2016-12-16 15:44:19+00:00,World,"David M. Friedman, a bankruptcy lawyer, supports expanded settlements in the West Bank and has accused the Obama administration of anti-Semitism.",The New York Times,Middle East,News,nyt://article/666d56be-b36e-5a19-b417-b7ee5d0ed822,https://www.nytimes.com/2016/12/16/world/middleeast/david-friedman-us-ambassador-israel.html,1525,By Isabel Kershner and Sheryl Gay Stolberg,"David Friedman, Choice for Envoy to Israel, Is Hostile to Two-State Efforts",,Trump’s Pick as Envoy to Israel Is Hostile to Two-State Efforts,David M. Friedman,"Kasowitz, Benson, Torres &amp; Friedman L.L.P., via Associated Press",https://static01.nyt.com/images/2016/12/17/world/17Friedman/17Friedman-articleLarge.jpg,900,600,https://static01.nyt.com/images/2016/12/17/world/17Friedman/17Friedman-thumbStandard.jpg,75,75,"David Friedman, Choice for Envoy to Israel, Is Hostile to Two-State Efforts","David Friedman, Choice for Envoy to Israel, Is Hostile to Two-State Efforts Mr. Friedman, a bankruptcy lawyer, supports expanded settlements in the West Bank and has accused the Obama administration of anti-Semitism. David M. Friedman, a bankruptcy lawyer, supports expanded settlements in the West Bank and has accused the Obama administration of anti-Semitism."
A stream of articles in Communist Party publications has argued that the election of Donald J. Trump has showed the United States to be dysfunctional and dissolute.,article,nyt://article/361d57da-4f97-5b4e-816b-04d31f24aede,"[{'name': 'Person', 'value': 'Buckley, Chris', 'rank': 1}, {'name': 'Subject', 'value': 'United States Politics and Government', 'rank': 2}, {'name': 'Organization', 'value': 'Communist Party of China', 'rank': 3}, {'name': 'Person', 'value': 'Trump, Donald J', 'rank': 4}, {'name': 'Person', 'value': 'Xi Jinping', 'rank': 5}, {'name': 'Location', 'value': 'China', 'rank': 6}, {'name': 'Location', 'value': 'United States', 'rank': 7}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 8}]",National,16,A,2016-12-14 11:18:49+00:00,World,A stream of articles in Communist Party publications has argued that the election of Donald J. Trump has showed the United States to be dysfunctional and dissolute.,The New York Times,Asia Pacific,News,nyt://article/361d57da-4f97-5b4e-816b-04d31f24aede,https://www.nytimes.com/2016/12/14/world/asia/china-media-america-trump-election.html,966,By Chris Buckley,"For China’s State Media, Trump Victory Can’t Cure ‘American Disease’",Sinosphere,Chinese Media Says Trump Can’t Cure ‘American Disease’,President-elect Donald J. Trump in Wisconsin on Tuesday. Chinese state news outlets have argued that the United States election demonstrated why one-party rule is right for China.,Todd Heisler/The New York Times,https://static01.nyt.com/images/2016/12/15/world/15CHINAELECTION-1/15CHINAELECTION-1-articleLarge.jpg,387,600,https://static01.nyt.com/images/2016/12/15/world/15CHINAELECTION-1/15CHINAELECTION-1-thumbStandard.jpg,75,75,"For China’s State Media, Trump Victory Can’t Cure ‘American Disease’","For China’s State Media, Trump Victory Can’t Cure ‘American Disease’ A stream of articles in Communist Party publications has argued that the election of Donald J. Trump has showed the United States to be dysfunctional and dissolute. A stream of articles in Communist Party publications has argued that the election of Donald J. Trump has showed the United States to be dysfunctional and dissolute."
A fight over a hydroelectric project in British Columbia is pitting the government against a public demanding greater rights and political transparency.,article,nyt://article/f623354e-79f9-57b5-8f3c-6cfe46bb4a3c,"[{'name': 'Person', 'value': 'Levin, Dan', 'rank': 1}, {'name': 'Location', 'value': 'Canada', 'rank': 2}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 3}, {'name': 'Subject', 'value': 'Levees and Dams', 'rank': 4}, {'name': 'Subject', 'value': 'Hydroelectric Power', 'rank': 5}, {'name': 'Subject', 'value': 'Infrastructure (Public Works)', 'rank': 6}, {'name': 'Organization', 'value': 'British Columbia Hydro and Power Authority', 'rank': 7}]",Foreign,8,A,2016-12-10 20:09:33+00:00,World,A fight over a hydroelectric project in British Columbia is pitting the government against a public demanding greater rights and political transparency.,The New York Times,Canada,News,nyt://article/f623354e-79f9-57b5-8f3c-6cfe46bb4a3c,https://www.nytimes.com/2016/12/10/world/canada/canadas-7-billion-dam-tests-the-limits-of-state-power.html,1468,By Dan Levin,Canada’s $7 Billion Dam Tests the Limits of State Power,,A $7 Billion Dam Project Tests the Limits of State Power in Canada,"Opponents of the Peace River dam in British Columbia gathered near the project, known as Site C. They criticized the dam as a huge boondoggle that would cost Canadian taxpayers for years to come.",Andrew Testa for The New York Times,https://static01.nyt.com/images/2016/12/11/world/CANADAHYDRO1/CANADAHYDRO1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/12/11/world/CANADAHYDRO1/CANADAHYDRO1-thumbStandard.jpg,75,75,Canada’s $7 Billion Dam Tests the Limits of State Power,Canada’s $7 Billion Dam Tests the Limits of State Power A fight over a hydroelectric project in British Columbia is pitting the government against a public demanding greater rights and political transparency. A fight over a hydroelectric project in British Columbia is pitting the government against a public demanding greater rights and political transparency.
"The three men vanished within days of one another in different provinces, rights groups said, and only one has been charged by the police.",article,nyt://article/24d2486b-294d-5b1a-a008-1e8e063a8096,"[{'name': 'Person', 'value': 'Forsythe, Michael', 'rank': 1}, {'name': 'Location', 'value': 'China', 'rank': 2}, {'name': 'Subject', 'value': 'Political Prisoners', 'rank': 3}, {'name': 'Subject', 'value': 'Human Rights and Human Rights Violations', 'rank': 4}, {'name': 'Person', 'value': 'Zhou Shifeng (1964- )', 'rank': 5}, {'name': 'Person', 'value': 'Xi Jinping', 'rank': 6}, {'name': 'Organization', 'value': 'Communist Party of China', 'rank': 7}, {'name': 'Person', 'value': 'Jiang Tianyong (1971- )', 'rank': 8}, {'name': 'Person', 'value': 'Huang Qi', 'rank': 9}, {'name': 'Person', 'value': 'Liu Feiyue', 'rank': 10}]",Foreign,14,A,2016-11-30 13:21:12+00:00,World,"The three men vanished within days of one another in different provinces, rights groups said, and only one has been charged by the police.",The New York Times,Asia Pacific,News,nyt://article/24d2486b-294d-5b1a-a008-1e8e063a8096,https://www.nytimes.com/2016/11/30/world/asia/china-human-rights-activists-arrested.html,842,By Michael Forsythe,"3 Chinese Rights Activists Vanish, Apparently in State Crackdown",,3 Chinese Rights Activists Vanish Over Several Days,Jiang Tianyong in 2012.,Ng Han Guan/Associated Press,https://static01.nyt.com/images/2016/12/01/world/01China1/01China1-articleLarge.jpg,863,600,https://static01.nyt.com/images/2016/12/01/world/01China1/01China1-thumbStandard.jpg,75,75,"3 Chinese Rights Activists Vanish, Apparently in State Crackdown","3 Chinese Rights Activists Vanish, Apparently in State Crackdown The three men vanished within days of one another in different provinces, rights groups said, and only one has been charged by the police. The three men vanished within days of one another in different provinces, rights groups said, and only one has been charged by the police."
"A suicide bombing in Kabul targeted worshipers who were honoring the Islamic ceremony of Arbaeen, and came after another recent assault on a Shiite shrine.",article,nyt://article/61ba4c56-a75f-5426-8e6d-837d0903bb04,"[{'name': 'Subject', 'value': 'Terrorism', 'rank': 1}, {'name': 'Person', 'value': 'Mashal, Mujib', 'rank': 2}, {'name': 'Subject', 'value': 'Muslims and Islam', 'rank': 3}, {'name': '', 'value': '', 'rank': 4}, {'name': 'Organization', 'value': 'Taliban', 'rank': 5}, {'name': 'Location', 'value': 'Kabul (Afghanistan)', 'rank': 6}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 7}, {'name': 'Location', 'value': 'Afghanistan', 'rank': 8}, {'name': 'Subject', 'value': 'Bombs and Explosives', 'rank': 9}]",Foreign,12,A,2016-11-21 10:30:22+00:00,World,"A suicide bombing in Kabul targeted worshipers who were honoring the Islamic ceremony of Arbaeen, and came after another recent assault on a Shiite shrine.",The New York Times,Asia Pacific,News,nyt://article/61ba4c56-a75f-5426-8e6d-837d0903bb04,https://www.nytimes.com/2016/11/22/world/asia/afghanistan-kabul-blast-mosque.html,767,By Mujib Mashal and Fahim Abed,"Islamic State Again Strikes at Afghan Shiites, Killing at Least 30 in Kabul",,ISIS Again Strikes at Afghan Shiites,"An injured man at a hospital after a suicide attack at a mosque in Kabul, Afghanistan, on Monday.",Mohammad Ismail/Reuters,https://static01.nyt.com/images/2016/11/22/world/22Afghan3/22Afghan3-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/11/22/world/22Afghan3/22Afghan3-thumbStandard.jpg,75,75,"Islamic State Again Strikes at Afghan Shiites, Killing at Least 30 in Kabul","Islamic State Again Strikes at Afghan Shiites, Killing at Least 30 in Kabul A suicide bombing in Kabul targeted worshipers who were honoring the Islamic ceremony of Arbaeen, and came after another recent assault on a Shiite shrine. A suicide bombing in Kabul targeted worshipers who were honoring the Islamic ceremony of Arbaeen, and came after another recent assault on a Shiite shrine."
The expert also said the government should investigate allegations of military reprisals against Rohingya Muslims instead of brushing them aside.,article,nyt://article/9ce62f9f-7460-5dc9-b163-f128add91d3d,"[{'name': 'Subject', 'value': 'Rohingya (Ethnic Group)', 'rank': 1}, {'name': 'Subject', 'value': 'International Relations', 'rank': 2}, {'name': 'Organization', 'value': 'Security Council (UN)', 'rank': 3}, {'name': 'Organization', 'value': 'United Nations', 'rank': 4}, {'name': 'Person', 'value': 'Aung San Suu Kyi', 'rank': 5}, {'name': 'Person', 'value': 'Power, Samantha', 'rank': 6}, {'name': 'Location', 'value': 'Myanmar', 'rank': 7}, {'name': 'Location', 'value': 'Rakhine State (Myanmar)', 'rank': 8}]",Foreign,,,2016-11-18 21:57:34+00:00,World,The expert also said the government should investigate allegations of military reprisals against Rohingya Muslims instead of brushing them aside.,The New York Times,Asia Pacific,News,nyt://article/9ce62f9f-7460-5dc9-b163-f128add91d3d,https://www.nytimes.com/2016/11/19/world/asia/myanmar-rakhine-rohingya-muslim.html,539,By Nick Cumming-Bruce,Myanmar Urged by U.N. Expert to Let Aid Flow to Rakhine State,,,Ethnic Rakhine men attended a police training course this week in the north of Rakhine State in Myanmar.,Soe Zeya Tun/Reuters,https://static01.nyt.com/images/2016/11/19/world/19myanmar/19myanmar-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/11/19/world/19myanmar/19myanmar-thumbStandard.jpg,75,75,Myanmar Urged by U.N. Expert to Let Aid Flow to Rakhine State,Myanmar Urged by U.N. Expert to Let Aid Flow to Rakhine State The expert also said the government should investigate allegations of military reprisals against Rohingya Muslims instead of brushing them aside. The expert also said the government should investigate allegations of military reprisals against Rohingya Muslims instead of brushing them aside.
Rightist politicians see Mr. Trump’s victory as a chance to reverse course on contentious policies like building new settlements and accords with the Palestinians.,article,nyt://article/ea1659ee-0b90-5611-a72f-690d54ea9886,"[{'name': 'Person', 'value': 'Netanyahu, Benjamin', 'rank': 1}, {'name': 'Person', 'value': 'Kershner, Isabel', 'rank': 2}, {'name': 'Subject', 'value': 'Israeli Settlements', 'rank': 3}, {'name': 'Subject', 'value': 'Presidential Election of 2016', 'rank': 4}, {'name': 'Subject', 'value': 'Legislatures and Parliaments', 'rank': 5}, {'name': 'Organization', 'value': 'Likud Party (Israel)', 'rank': 6}, {'name': 'Location', 'value': 'Israel', 'rank': 7}, {'name': 'Person', 'value': 'Trump, Donald J', 'rank': 8}, {'name': 'Subject', 'value': 'Palestinians', 'rank': 9}]",Foreign,9,A,2016-11-15 01:15:19+00:00,World,Rightist politicians see Mr. Trump’s victory as a chance to reverse course on contentious policies like building new settlements and accords with the Palestinians.,The New York Times,Middle East,News,nyt://article/ea1659ee-0b90-5611-a72f-690d54ea9886,https://www.nytimes.com/2016/11/15/world/middleeast/israel-netanyahu-trump-palestinian-settlements.html,1102,By Isabel Kershner,"Israel’s Right, Cheering Donald Trump’s Win, Renews Calls to Abandon 2-State Solution",,Rightists See a Chance  to Shift Israel’s Course,"A Tel Aviv cafe on Wednesday. “The era of a Palestinian state is over,” one cabinet minister said after the United States election.",Baz Ratner/Reuters,https://static01.nyt.com/images/2016/11/15/world/15ISRAEL/15ISRAEL-articleLarge.jpg,400,600,https://static01.nyt.com/images/2016/11/15/world/15ISRAEL/15ISRAEL-thumbStandard-v2.jpg,75,75,"Israel’s Right, Cheering Donald Trump’s Win, Renews Calls to Abandon 2-State Solution","Israel’s Right, Cheering Donald Trump’s Win, Renews Calls to Abandon 2-State Solution Rightist politicians see Mr. Trump’s victory as a chance to reverse course on contentious policies like building new settlements and accords with the Palestinians. Rightist politicians see Mr. Trump’s victory as a chance to reverse course on contentious policies like building new settlements and accords with the Palestinians."
