abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
"A suicide bomber struck a crowded gathering in Kabul, leaving more than 40 dead. The group has claimed several attacks on Shiite targets across the country.",article,nyt://article/99f3fbb7-736e-5e5f-a2fd-6f3b4ac78c40,"[{'name': 'Location', 'value': 'Kabul (Afghanistan)', 'rank': 1}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 2}, {'name': 'Subject', 'value': 'Terrorism', 'rank': 3}, {'name': 'Subject', 'value': 'Shiite Muslims', 'rank': 4}, {'name': 'Subject', 'value': 'Afghanistan War (2001- )', 'rank': 5}, {'name': 'Subject', 'value': 'Bombs and Explosives', 'rank': 6}, {'name': 'Subject', 'value': 'News and News Media', 'rank': 7}, {'name': 'Subject', 'value': 'vis-multimedia', 'rank': 8}]",Foreign,4,A,2017-12-28 09:11:34+00:00,World,"At least one suicide bomber made it inside the cultural center, detonating in the middle of a student discussion. The Taliban denied responsibility.",The New York Times,Asia Pacific,News,nyt://article/99f3fbb7-736e-5e5f-a2fd-6f3b4ac78c40,https://www.nytimes.com/2017/12/28/world/asia/afghanistan-suicide-attack.html,931,"By Fahim Abed, Fatima Faizi and Mujib Mashal",Islamic State Claims Deadly Blast at Afghan Shiite Center,,ISIS Claims Deadly Blast  At Afghan Shiite Center,"The scene of a suicide bomb attack that killed dozens in Kabul, Afghanistan, on Thursday.",Hedayatullah Amid/European Pressphoto Agency,https://static01.nyt.com/images/2017/12/29/world/29afghanistan-1sub2/29afghanistan-1sub2-articleLarge.jpg,400,600,https://static01.nyt.com/images/2017/12/29/world/29afghanistan-1sub2/29afghanistan-1sub2-thumbStandard.jpg,75,75,Islamic State Claims Deadly Blast at Afghan Shiite Center,"Islamic State Claims Deadly Blast at Afghan Shiite Center A suicide bomber struck a crowded gathering in Kabul, leaving more than 40 dead. The group has claimed several attacks on Shiite targets across the country. At least one suicide bomber made it inside the cultural center, detonating in the middle of a student discussion. The Taliban denied responsibility."
Nothing brings people together like a daily commute. Readers share their favorite transit memories.,article,nyt://article/bd48386f-bfb4-5cd2-a743-e145390a90b4,"[{'name': 'Subject', 'value': 'Transit Systems', 'rank': 1}, {'name': 'Subject', 'value': 'Diaries', 'rank': 2}, {'name': 'Location', 'value': 'Australia', 'rank': 3}, {'name': 'Location', 'value': 'Sydney (Australia)', 'rank': 4}]",Foreign,,,2017-12-10 18:00:14+00:00,World,Nothing brings people together like a daily commute. Readers share their favorite transit memories.,The New York Times,Australia,News,nyt://article/bd48386f-bfb4-5cd2-a743-e145390a90b4,https://www.nytimes.com/2017/12/10/world/australia/australia-diary-claim-your-onions.html,409,By Diana Oliva Cave,Australia Diary: Claim Your Onions,f,,,Evelyn Yang/Melbourne,https://static01.nyt.com/images/2017/11/28/world/australia/00AustraliaMetroDiary_SydneyBusPic/00AustraliaMetroDiary_SydneyBusPic-articleLarge-v7.jpg,400,600,https://static01.nyt.com/images/2017/11/28/world/australia/00AustraliaMetroDiary_SydneyBusPic/00AustraliaMetroDiary_SydneyBusPic-thumbStandard-v4.jpg,75,75,Australia Diary: Claim Your Onions,Australia Diary: Claim Your Onions Nothing brings people together like a daily commute. Readers share their favorite transit memories. Nothing brings people together like a daily commute. Readers share their favorite transit memories.
"Prosecutors said the arrests were part of a campaign against corruption, but critics of the president say he is engaged in a political purge.",article,nyt://article/104924e5-5074-57b0-b2df-4b13e3472bad,"[{'name': 'Subject', 'value': 'Corruption (Institutional)', 'rank': 1}, {'name': 'Subject', 'value': 'Oil (Petroleum) and Gasoline', 'rank': 2}, {'name': 'Organization', 'value': 'Citgo Petroleum Corp', 'rank': 3}, {'name': 'Organization', 'value': 'Petroleos de Venezuela SA', 'rank': 4}, {'name': 'Person', 'value': 'Maduro, Nicolas', 'rank': 5}, {'name': 'Location', 'value': 'Venezuela', 'rank': 6}]",Foreign,11,A,2017-11-30 23:42:48+00:00,World,"Prosecutors said the arrests were part of a campaign against corruption, but critics of the president say he is engaged in a political purge.",The New York Times,Americas,News,nyt://article/104924e5-5074-57b0-b2df-4b13e3472bad,https://www.nytimes.com/2017/11/30/world/americas/venezuela-maduro-oil-corruption-arrests.html,688,By Ana Vanessa Herrero and Nicholas Casey,"Venezuela Arrests 2 Former Oil Officials, Claiming Corruption",,"Venezuela Arrests 2 Former Oil Officials, Claiming Corruption","President President Nicolás Maduro of Venezuela, left, and Nelson Martínez, then the oil and mining minister, in Caracas in January. Mr. Martínez was arrested on Thursday.",Juan Barreto/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2017/12/01/world/01venez1/01venez1-articleLarge.jpg,438,600,https://static01.nyt.com/images/2017/12/01/world/01venez1/01venez1-thumbStandard.jpg,75,75,"Venezuela Arrests 2 Former Oil Officials, Claiming Corruption","Venezuela Arrests 2 Former Oil Officials, Claiming Corruption Prosecutors said the arrests were part of a campaign against corruption, but critics of the president say he is engaged in a political purge. Prosecutors said the arrests were part of a campaign against corruption, but critics of the president say he is engaged in a political purge."
"He scoured the world for evidence to make his case, but a scholar now finds his government reluctant to challenge Beijing, its powerful rival.",article,nyt://article/75085365-218c-5806-b04f-0f02febee8c9,"[{'name': 'Subject', 'value': 'Maps', 'rank': 1}, {'name': 'Location', 'value': 'South China Sea', 'rank': 2}, {'name': 'Location', 'value': 'China', 'rank': 3}, {'name': 'Location', 'value': 'Vietnam', 'rank': 4}, {'name': 'Location', 'value': 'Danang (Vietnam)', 'rank': 5}, {'name': 'Location', 'value': 'Spratly Islands', 'rank': 6}, {'name': 'Subject', 'value': 'Research', 'rank': 7}, {'name': 'Location', 'value': 'Paracel Islands', 'rank': 8}]",Foreign,4,A,2017-11-25 22:48:15+00:00,World,"He scoured the world of documents and maps to make his case, but a Vietnamese scholar now finds his government reluctant to challenge Beijing, its powerful rival.",The New York Times,Asia Pacific,News,nyt://article/75085365-218c-5806-b04f-0f02febee8c9,https://www.nytimes.com/2017/11/25/world/asia/vietnam-south-china-sea.html,1043,By Mike Ives,A Defiant Map-Hunter Stakes Vietnam’s Claims in the South China Sea,,"In Hanoi, Case for Disputed Sea Is ‘Kept in Dark’","Tran Duc Anh Son, a historian in Danang, Vietnam, says his government is afraid to use the records he uncovered to challenge Beijing. &ldquo;That&rsquo;s why we have many documents that are kept in the dark.&rdquo;",Quinn Ryan Mattingly for The New York Times,https://static01.nyt.com/images/2017/11/26/world/26vietnam-maps/00vietnam-maps1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2017/11/26/world/26vietnam-maps/00vietnam-maps1-thumbStandard.jpg,75,75,A Defiant Map-Hunter Stakes Vietnam’s Claims in the South China Sea,"A Defiant Map-Hunter Stakes Vietnam’s Claims in the South China Sea He scoured the world for evidence to make his case, but a scholar now finds his government reluctant to challenge Beijing, its powerful rival. He scoured the world of documents and maps to make his case, but a Vietnamese scholar now finds his government reluctant to challenge Beijing, its powerful rival."
"Prime Minister Saad Hariri tells an interviewer that he will return home, and that his resignation may not be final. But many Lebanese remain skeptical.",article,nyt://article/a35a4077-09f7-5899-8d3f-34603adcb114,"[{'name': 'Organization', 'value': 'Hezbollah', 'rank': 1}, {'name': 'Person', 'value': 'Aoun, Michel (1935- )', 'rank': 2}, {'name': 'Person', 'value': 'Hariri, Saad', 'rank': 3}, {'name': 'Location', 'value': 'Lebanon', 'rank': 4}, {'name': 'Location', 'value': 'Saudi Arabia', 'rank': 5}, {'name': 'Location', 'value': 'Middle East', 'rank': 6}]",Foreign,8,A,2017-11-12 20:46:09+00:00,World,"Prime Minister Saad Hariri tells an interviewer that he will return home, and that his resignation may not be final.",The New York Times,Middle East,News,nyt://article/a35a4077-09f7-5899-8d3f-34603adcb114,https://www.nytimes.com/2017/11/12/world/middleeast/lebanon-saad-hariri-saudi-arabia.html,834,By Anne Barnard,"Lebanon’s Leader, Still in Saudi Arabia, Claims He’s Free to Go",,"Live From Saudi Arabia,  Lebanese Leader Speaks","Prime Minister Saad Hariri&rsquo;s television interview, seen at a coffee shop in Beirut, Lebanon, on Sunday evening.",Anwar Amro/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2017/11/13/world/13lebanon1/13lebanon1-articleLarge.jpg,394,600,https://static01.nyt.com/images/2017/11/13/world/13lebanon1/13lebanon1-thumbStandard.jpg,75,75,"Lebanon’s Leader, Still in Saudi Arabia, Claims He’s Free to Go","Lebanon’s Leader, Still in Saudi Arabia, Claims He’s Free to Go Prime Minister Saad Hariri tells an interviewer that he will return home, and that his resignation may not be final. But many Lebanese remain skeptical. Prime Minister Saad Hariri tells an interviewer that he will return home, and that his resignation may not be final."
"Of the many issues dividing Canada’s government from its indigenous people, land claims are among the most symbolically important and economically consequential.",article,nyt://article/972cc9cb-7f77-56e4-a86f-1e8e7753bb73,"[{'name': 'Location', 'value': 'Canada', 'rank': 1}, {'name': 'Location', 'value': 'Ontario (Canada)', 'rank': 2}, {'name': 'Location', 'value': 'Ottawa (Ontario)', 'rank': 3}, {'name': 'Subject', 'value': 'Indigenous People', 'rank': 4}, {'name': 'Subject', 'value': 'Treaties', 'rank': 5}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 6}, {'name': 'Organization', 'value': 'Assembly of First Nations', 'rank': 7}, {'name': 'Person', 'value': 'Trudeau, Justin', 'rank': 8}]",Foreign,6,A,2017-11-12 10:00:34+00:00,World,"Of the many issues dividing Canada’s government from its indigenous people, land claims are among the most symbolically important and economically consequential.",The New York Times,Canada,News,nyt://article/972cc9cb-7f77-56e4-a86f-1e8e7753bb73,https://www.nytimes.com/2017/11/12/world/canada/canada-first-nations-algonquin-land-claims.html,1301,By Ian Austen,Vast Indigenous Land Claims in Canada Encompass Parliament Hill,,"In Canada, Unraveling Centuries of Indigenous Land Claims","Parliament Hill in Ottawa. For decades, a vast swath of eastern Ontario, including parts of Canada&rsquo;s capital city, has been claimed by various groups of Algonquin.",Cole Burston for The New York Times,https://static01.nyt.com/images/2017/11/13/world/13canada-landclaims1/xxcanada-landclaims1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2017/11/13/world/13canada-landclaims1/xxcanada-landclaims1-thumbStandard.jpg,75,75,Vast Indigenous Land Claims in Canada Encompass Parliament Hill,"Vast Indigenous Land Claims in Canada Encompass Parliament Hill Of the many issues dividing Canada’s government from its indigenous people, land claims are among the most symbolically important and economically consequential. Of the many issues dividing Canada’s government from its indigenous people, land claims are among the most symbolically important and economically consequential."
"It was not clear whether telecommunications providers would comply with the government’s request, which an official said had come from the country’s spy agency.",article,nyt://article/96e8e0a0-d079-5876-9e56-680d0d339bd5,"[{'name': 'Subject', 'value': 'Freedom of Speech and Expression', 'rank': 1}, {'name': 'Organization', 'value': 'WhatsApp Inc', 'rank': 2}, {'name': 'Location', 'value': 'Afghanistan', 'rank': 3}, {'name': 'Subject', 'value': 'Telephones and Telecommunications', 'rank': 4}, {'name': 'Organization', 'value': 'Telegram LLC', 'rank': 5}, {'name': 'Organization', 'value': 'Facebook Inc', 'rank': 6}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 7}, {'name': 'Subject', 'value': 'Espionage and Intelligence Services', 'rank': 8}]",Foreign,,,2017-11-03 14:33:38+00:00,World,"It was not clear whether telecommunications providers would comply with the government’s request, which an official said had come from the country’s spy agency.",The New York Times,Asia Pacific,News,nyt://article/96e8e0a0-d079-5876-9e56-680d0d339bd5,https://www.nytimes.com/2017/11/03/world/asia/afghanistan-whatsapp-ban.html,648,By Mujib Mashal and Fatima Faizi,"Afghanistan Acts to Ban WhatsApp, but Claims Move Is Temporary",,,"Afghans selling phones last year at a market in Kabul, the capital. The government has asked service providers to suspend WhatsApp and another encrypted messaging app, Telegram.",Adam Ferguson for The New York Times,https://static01.nyt.com/images/2017/11/04/world/04afghanistan-1/04afghanistan-1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2017/11/04/world/04afghanistan-1/04afghanistan-1-thumbStandard.jpg,75,75,"Afghanistan Acts to Ban WhatsApp, but Claims Move Is Temporary","Afghanistan Acts to Ban WhatsApp, but Claims Move Is Temporary It was not clear whether telecommunications providers would comply with the government’s request, which an official said had come from the country’s spy agency. It was not clear whether telecommunications providers would comply with the government’s request, which an official said had come from the country’s spy agency."
"One minister faces an inquiry after asking a staff member to buy sex toys, while dozens of lawmakers are accused of sexism, harassment or inappropriate behavior.",article,nyt://article/4c1dbf05-ccc7-58b4-af42-5e10e7c9051e,"[{'name': 'Subject', 'value': 'Sexual Harassment', 'rank': 1}, {'name': 'Organization', 'value': 'House of Commons (Great Britain)', 'rank': 2}, {'name': 'Location', 'value': 'London (England)', 'rank': 3}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 4}]",Foreign,4,A,2017-10-30 19:59:07+00:00,World,"One minister faces an inquiry after asking a staff member to buy sex toys, while dozens of lawmakers are accused of sexism, harassment or inappropriate behavior.",The New York Times,Europe,News,nyt://article/4c1dbf05-ccc7-58b4-af42-5e10e7c9051e,https://www.nytimes.com/2017/10/30/world/europe/sexual-harassment-british-parliament.html,788,By Stephen Castle,Sexual Harassment Claims Surface in U.K. Parliament,,Wave of Sex Harassment Claims Surfacing in Britain’s Parliament,"Mark Garnier, right, Britain&rsquo;s minister for international trade, during an interview last year. He is under investigation after admitting to asking a female member of his staff to buy sex toys.",Jason Alden/Bloomberg,https://static01.nyt.com/images/2017/10/31/world/31Britain/31Britain-articleLarge.jpg,400,600,https://static01.nyt.com/images/2017/10/31/world/31Britain/31Britain-thumbStandard.jpg,75,75,Sexual Harassment Claims Surface in U.K. Parliament,"Sexual Harassment Claims Surface in U.K. Parliament One minister faces an inquiry after asking a staff member to buy sex toys, while dozens of lawmakers are accused of sexism, harassment or inappropriate behavior. One minister faces an inquiry after asking a staff member to buy sex toys, while dozens of lawmakers are accused of sexism, harassment or inappropriate behavior."
"The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward.",article,nyt://article/39ad661b-c120-5c9c-b580-7d2784e6446f,"[{'name': 'Organization', 'value': 'Roman Catholic Church', 'rank': 1}, {'name': 'Person', 'value': 'Capella, Carlo', 'rank': 2}, {'name': 'Subject', 'value': 'Child Pornography', 'rank': 3}, {'name': 'Subject', 'value': 'Child Abuse and Neglect', 'rank': 4}, {'name': 'Subject', 'value': 'Sex Crimes', 'rank': 5}]",Foreign,8,A,2017-10-05 17:41:29+00:00,World,"The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward.",The New York Times,Europe,News,nyt://article/39ad661b-c120-5c9c-b580-7d2784e6446f,https://www.nytimes.com/2017/10/05/world/europe/catholic-church-sex-abuse.html,1064,By Jason Horowitz,Vatican Shines Light on Child Abuse as Claims Against Priests Persist,,Vatican Shines a Light on Child Abuse as Claims Against Priests Persist,Pope Francis at the Vatican on Wednesday. He has said that the church “arrived late” to the sexual abuse crisis.,Alessandro Di Meo/European Pressphoto Agency,https://static01.nyt.com/images/2017/10/06/world/06Vatican1/06Vatican1-articleLarge.jpg,391,600,https://static01.nyt.com/images/2017/10/06/world/06Vatican1/06Vatican1-thumbStandard.jpg,75,75,Vatican Shines Light on Child Abuse as Claims Against Priests Persist,"Vatican Shines Light on Child Abuse as Claims Against Priests Persist The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward. The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward."
"With the fall of Hawija, the militants’ foothold has been reduced to a shrinking area along the Euphrates River in Iraq and substantial territory across the border in Syria.",article,nyt://article/8688324e-ee58-55c5-ac9d-344d773e6258,"[{'name': 'Organization', 'value': 'Iraqi Army', 'rank': 1}, {'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 2}, {'name': 'Organization', 'value': 'Pesh Merga', 'rank': 3}, {'name': 'Person', 'value': 'Abadi, Haider al-', 'rank': 4}, {'name': 'Location', 'value': 'Hawija (Iraq)', 'rank': 5}, {'name': 'Location', 'value': 'Iraq', 'rank': 6}, {'name': 'Location', 'value': 'Kirkuk (Iraq)', 'rank': 7}]",Foreign,10,A,2017-10-05 12:37:52+00:00,World,"With the fall of Hawija, the militants’ foothold has been reduced to a shrinking area along the Euphrates River in Iraq and substantial territory across the border in Syria.",The New York Times,Middle East,News,nyt://article/8688324e-ee58-55c5-ac9d-344d773e6258,https://www.nytimes.com/2017/10/05/world/middleeast/iraq-hawija-isis.html,1117,By David Zucchino and Rod Nordland,Iraq Claims Victory in ISIS’ Last Urban Stronghold,,Iraq Claims Victory in the Islamic State’s Last Urban Stronghold,Iraqi forces and Shiite militias advancing toward the former Islamic State stronghold of Hawija on Thursday.,Ahmad Al-Rubaye/Agence France-Presse &mdash; Getty Images,https://static01.nyt.com/images/2017/10/06/world/06Iraq3/06Iraq3-articleLarge.jpg,400,600,https://static01.nyt.com/images/2017/10/06/world/06Iraq3/06Iraq3-thumbStandard.jpg,75,75,Iraq Claims Victory in ISIS’ Last Urban Stronghold,"Iraq Claims Victory in ISIS’ Last Urban Stronghold With the fall of Hawija, the militants’ foothold has been reduced to a shrinking area along the Euphrates River in Iraq and substantial territory across the border in Syria. With the fall of Hawija, the militants’ foothold has been reduced to a shrinking area along the Euphrates River in Iraq and substantial territory across the border in Syria."
