word,count,happs_score,stddev
chinese,3,5.64,1.4813
scientist,1,6.18,1.2887
claimed,3,5.4,1.178
make,1,6.0,0.9897
edited,1,5.24,1.135
babies,1,7.46,1.5012
kept,1,5.74,1.1031
guard,1,4.88,1.6243
human,1,6.26,1.6389
rights,1,6.48,1.555
advocate,1,5.18,1.6622
case,1,5.02,1.3013
arab,1,4.5,1.594
princess,1,7.08,1.5758
accused,2,2.92,1.5497
2nd,1,4.88,1.5471
home,1,7.14,1.8296
send,1,5.38,1.3536
mexico,2,5.84,1.7186
wait,1,3.74,1.209
claims,20,4.72,1.4434
hong,1,4.86,0.9691
kong,1,5.44,1.1808
conflict,1,3.1,1.5286
camps,3,5.56,1.6801
lawsuit,1,2.96,1.6157
facing,1,5.26,1.1031
receive,1,6.5,1.1112
pakistan,1,3.94,1.1502
claim,17,5.18,1.4941
does,1,5.22,1.2501
did,1,5.58,1.1265
george,1,5.26,1.0654
fund,1,6.04,1.1241
despite,1,4.48,1.3438
republican,1,4.42,1.9176
victory,3,7.98,1.0784
bosnia,1,4.8,1.7023
early,1,5.66,1.239
vote,2,5.8,1.5779
count,1,5.5,1.0546
man,1,5.9,1.4033
spy,1,4.24,1.7677
britain,1,5.78,1.8767
fed,1,5.78,1.4886
agents,1,5.0,1.2936
secrets,3,5.28,1.8187
new,7,6.82,1.1373
book,1,7.24,1.2048
sides,1,5.04,1.1773
changing,1,5.8,1.4428
doubts,1,3.3,1.4321
mount,1,5.54,1.2651
israeli,3,4.82,1.746
leader,3,6.38,1.3384
iran,3,4.3,1.632
atomic,1,4.61,1.789
link,1,5.78,1.1119
russians,1,5.2,1.3851
trump,9,5.3,1.7053
false,3,3.18,1.3506
widespread,1,4.8,1.1429
attacks,3,2.46,1.4598
white,2,6.28,1.5391
farmers,2,6.34,1.1886
south,7,6.16,1.6081
africa,2,5.26,2.0782
police,2,4.58,1.8526
attacked,1,2.52,1.555
responsibility,3,5.72,1.6542
relations,1,6.3,1.6067
fact,2,5.9,1.3286
truth,1,7.42,1.401
bold,1,5.66,1.7912
north,6,5.52,1.2162
korean,4,5.48,1.4741
crime,1,2.2,1.2617
immigration,1,5.2,1.3553
leaders,4,5.88,1.3192
target,2,5.36,1.5221
prosecutor,2,4.06,1.6587
contain,1,5.7,1.1824
tied,1,4.4,1.3553
drug,1,3.2,2.0702
kim,1,5.22,1.5817
keeps,1,5.88,1.3192
nuclear,2,3.28,1.7847
offer,1,6.62,1.028
prime,2,6.46,1.2811
question,1,4.98,1.7319
island,1,6.78,1.5425
taiwan,1,5.36,1.2739
china,6,5.4,1.7023
sea,1,6.94,1.2843
taken,1,4.28,1.4714
control,1,5.38,1.4831
western,2,6.1,1.359
politicians,1,3.34,1.1359
sexual,2,6.2,1.4569
members,1,5.66,1.2224
step,1,5.32,0.8676
aside,1,4.76,0.9161
protest,3,3.56,1.4591
russian,5,5.52,1.7052
faces,1,6.2,1.4569
charges,1,3.94,1.5308
says,20,5.28,1.1959
australia,1,6.4,1.5908
missiles,1,2.82,1.5868
fired,1,2.3,1.5682
cities,1,5.58,1.4995
court,1,3.78,1.799
alive,1,7.18,1.2887
deficit,1,3.08,1.3529
talk,1,6.06,1.0577
investigate,1,5.1,1.2976
party,1,7.58,1.4581
youth,2,6.62,1.8832
camp,1,6.26,1.5361
turkey,1,6.16,1.8111
sentences,1,5.59,1.632
journalists,1,5.2,1.5119
terrorism,1,1.48,0.9089
ties,2,5.24,1.4507
deadly,2,2.9,1.8171
attack,6,2.42,1.4299
church,1,5.48,1.8543
region,1,5.14,1.143
baghdad,1,3.62,1.9048
affiliate,1,5.68,1.2526
october,1,5.88,1.4234
troops,1,5.16,2.0639
pressed,1,4.62,1.3076
ambassador,1,5.78,1.5687
goes,1,5.26,1.1214
silent,1,5.12,1.5471
rural,1,5.78,1.6573
victim,1,2.38,1.4126
discuss,8,5.96,1.2282
prisoners,2,2.44,1.4591
appear,1,5.84,0.8172
ready,1,6.58,1.1622
peace,1,7.86,1.3403
officials,2,4.76,1.3637
close,1,4.94,1.3911
crown,1,6.62,1.4693
prince,1,6.44,1.3426
discussed,2,5.56,1.4591
killing,1,1.7,1.359
enemies,1,2.44,1.473
year,1,5.38,1.3536
death,1,1.54,1.2811
mike,1,5.3,1.4463
meets,1,5.98,1.0971
turkish,1,5.56,1.2149
president,2,5.86,2.1094
saudi,2,4.58,1.4299
fate,1,4.78,1.2664
administration,1,4.84,1.5696
plans,2,6.2,1.0102
rebel,1,4.38,1.6022
officers,1,4.98,1.672
korea,5,5.34,1.3793
3rd,1,4.96,1.1945
summit,2,5.52,1.6193
meeting,3,5.46,1.3433
remains,1,4.42,1.4441
palestinians,1,4.5,1.1995
amid,5,5.08,1.14
gaza,1,4.44,1.3874
crisis,1,2.48,1.6689
treaty,1,6.22,1.3293
end,1,4.36,1.7351
war,3,1.8,1.4142
tech,1,6.22,1.3293
olympics,1,7.02,1.3476
potential,1,6.68,1.0774
hockey,1,5.42,1.6793
team,3,6.26,1.4259
wanted,1,5.08,1.7825
russia,1,5.5,1.374
brought,1,5.9,1.3286
black,1,4.88,1.8366
lives,1,6.22,1.148
corruption,2,2.14,1.3095
guide,1,6.1,1.165
recent,1,5.56,1.1095
reporting,1,5.12,1.1718
aids,2,4.28,2.3477
agency,3,5.26,0.9216
needs,3,4.98,1.5185
report,25,4.76,1.3334
dangerous,1,2.44,1.4591
place,1,5.56,1.198
women,1,7.12,1.4658
finds,6,5.94,1.2521
problem,1,2.98,1.4068
school,1,6.26,1.8824
reported,10,5.12,1.2558
battle,1,2.98,1.7319
york,1,5.62,1.1761
times,2,5.58,1.1968
reports,10,5.0,1.5119
driving,1,6.18,1.6499
conversation,1,6.24,1.4507
military,2,4.78,1.753
gain,1,6.4,1.5386
university,1,6.74,1.3822
iphone,1,6.54,1.854
abuse,3,1.88,1.2395
students,1,6.28,1.8299
teachers,1,6.44,1.2961
hits,1,4.98,2.1899
deaths,1,1.64,1.1386
suspect,1,3.14,1.3095
happened,1,5.02,1.1865
mystery,1,5.64,1.849
killed,6,1.56,1.2316
storm,1,4.26,2.0082
national,1,5.98,1.1516
oil,2,4.88,1.6368
company,2,5.44,1.58
economy,1,4.38,1.6646
stronger,1,7.12,1.0812
unions,1,5.28,1.6542
higher,1,6.46,1.2157
taxes,1,2.7,1.5286
catholic,1,5.3,1.8323
sex,1,7.44,1.6801
heard,1,5.36,0.802
crimes,1,2.14,1.3704
arabia,1,5.4,1.6413
security,1,6.1,1.632
adviser,1,5.48,1.821
cabinet,1,5.68,1.1328
panel,1,5.54,1.2811
holds,1,5.4,1.069
million,2,7.38,1.427
starts,1,5.96,1.1945
key,1,5.82,1.0631
missile,1,3.24,1.8905
using,1,5.0,1.0498
children,2,7.12,1.3498
undercover,1,5.04,1.6031
surprisingly,1,6.82,1.32
high,1,6.64,1.2081
rate,1,5.34,1.2224
slavery,1,2.02,1.5842
developed,1,6.36,1.4813
countries,1,5.68,0.9781
climate,1,5.8,1.4286
doing,1,5.5,1.1995
calls,1,5.42,1.0319
theft,1,2.3,1.374
cave,1,5.73,1.5913
progress,2,7.26,1.1572
search,1,5.44,1.1808
soccer,1,6.44,1.5407
sharp,1,4.84,1.6946
increase,1,6.56,1.1095
conflicts,1,2.96,1.4563
woman,1,6.84,1.6458
husband,1,6.62,1.7484
lawyer,1,3.84,1.4194
details,1,5.74,1.2257
chemical,2,4.18,1.3952
left,1,4.64,1.4394
judge,1,4.92,1.6015
crash,1,2.6,1.3702
inquiry,3,4.66,1.3793
source,1,5.72,1.2129
palestinian,1,4.62,1.6022
aid,1,6.24,1.3637
chief,1,6.18,1.1551
sense,1,6.3,1.0351
father,1,7.06,1.7427
skip,1,5.32,1.463
royal,1,5.82,1.6374
suspects,1,3.6,1.1952
newspaper,1,6.32,1.3468
shot,1,2.5,1.6568
near,1,5.72,1.6041
site,1,5.32,0.7939
official,1,5.38,1.028
journalist,3,5.54,1.3584
dies,1,2.08,1.5628
poison,1,1.94,1.1502
gas,1,4.76,1.6483
failed,1,1.84,0.9971
act,1,6.0,1.2936
plays,1,6.72,1.5784
asked,1,5.36,1.2739
talks,1,5.82,1.207
record,1,5.78,1.4039
number,1,5.3,0.9313
illegal,1,2.86,1.3704
fuel,1,5.4,1.178
cases,2,4.82,0.919
men,1,5.94,1.3911
triple,1,5.98,1.1337
england,1,6.28,1.5258
wales,1,5.96,1.4994
free,1,7.96,1.261
pass,1,5.9,1.4321
fear,2,2.32,1.3005
use,1,5.64,1.1563
outside,1,5.8,1.6782
state,27,5.28,0.9697
returns,1,5.24,1.5059
france,2,6.32,1.3768
emergency,3,3.06,1.7775
damage,1,2.58,1.4995
protests,1,4.24,1.6358
greek,1,6.08,1.2591
efforts,1,5.6,1.4569
met,1,5.82,0.919
minister,1,5.18,1.4097
secret,1,4.84,1.6081
deal,1,6.32,1.0774
seized,1,3.44,1.4591
americans,1,6.5,1.6933
dozens,1,5.7,1.2817
dead,1,2.0,1.3248
eastern,1,5.76,1.4223
islamic,4,4.66,1.5201
rome,1,6.98,1.4213
city,1,5.76,1.546
latest,1,6.06,1.3614
australian,1,6.26,1.2257
abortion,1,2.6,1.5253
singer,1,6.82,1.4525
voice,1,5.76,1.0606
spread,1,5.48,1.1292
conspiracy,1,3.28,1.4574
theories,1,6.06,1.4507
gulf,1,5.4,1.7143
honored,1,7.14,1.2779
funeral,1,2.1,1.5551
tweets,1,5.42,1.9701
come,1,5.82,1.0039
media,1,5.62,1.8058
diplomacy,1,5.74,1.7001
video,1,6.48,1.111
hundreds,1,5.96,1.6655
indian,1,6.26,1.7706
worst,1,2.1,1.3439
rains,1,6.01,1.8722
law,1,4.9,1.5551
country,1,6.28,1.7148
jewish,1,5.72,1.0506
flight,1,6.06,1.834
champagne,1,6.82,1.746
roses,1,7.52,1.2493
son,1,7.12,1.8142
iraq,1,3.9,1.6568
border,1,4.9,1.488
department,2,5.26,1.1031
draws,1,6.18,1.32
facebook,1,6.08,1.9361
travel,1,7.18,1.4241
tips,1,6.28,1.5784
held,1,5.28,1.2784
vietnam,1,4.42,1.9804
television,1,6.66,1.5858
head,1,5.96,1.0683
period,1,4.72,1.4291
promises,1,6.26,1.5493
return,1,5.2,1.4708
orders,1,4.24,1.4786
funds,1,6.12,1.8254
recovery,1,6.64,1.495
mexican,3,5.4,1.5253
mob,1,3.56,1.8644
muslims,1,4.3,1.3887
granted,1,6.14,1.8071
fight,1,2.7,1.7409
spent,1,4.76,1.546
ireland,1,5.98,1.3626
tells,1,5.32,1.2688
stop,1,3.9,1.3439
pupils,1,5.76,1.4935
religion,1,6.0,1.8295
class,1,5.52,1.7756
aide,1,5.56,1.4165
turns,1,5.2,0.9035
witness,1,4.82,1.3656
earthquake,1,1.9,1.1995
strikes,1,4.02,1.3626
building,1,5.94,1.1141
guns,1,2.98,2.0151
reuters,1,5.18,1.3656
reporters,1,5.18,1.3506
charged,1,5.04,1.5903
obtaining,1,5.81,1.3616
governor,1,5.14,1.1608
losing,1,2.62,1.1761
faith,1,7.08,1.4405
towns,1,6.06,1.1502
quietly,1,5.72,1.4003
break,1,5.04,1.8178
away,1,4.22,1.2664
solution,2,6.84,1.3756
loses,1,2.74,1.2423
plan,1,6.14,1.2779
gains,1,6.82,1.4803
right,1,6.54,1.2651
moves,1,5.68,0.957
doom,1,3.12,1.9217
