abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
,article,nyt://article/35682e69-0904-589c-bee9-0dbc0d31883e,[],Sports,,,2022-12-20 19:21:32+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/35682e69-0904-589c-bee9-0dbc0d31883e,https://www.nytimes.com/live/2022/12/21/world/volodymyr-zelensky-russia-ukraine-news/a-40-million-ukrainian-claim-against-fifa-shows-how-even-soccer-is-feeling-the-strain-of-war,407,By Tariq Panja,A $40 million Ukrainian claim against FIFA shows how even soccer is feeling the strain of war.,,,"Shakhtar Donetsk players and coaches after a match in October in Glasgow, Scotland.",Russell Cheyne/Reuters,https://static01.nyt.com/images/2022/12/20/multimedia/20ukraine-briefing-soccer-VERSION-01-1-83a0/20ukraine-briefing-soccer-VERSION-01-1-83a0-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/12/20/multimedia/20ukraine-briefing-soccer-VERSION-01-1-83a0/20ukraine-briefing-soccer-VERSION-01-1-83a0-thumbStandard.jpg,75,75,A $40 million Ukrainian claim against FIFA shows how even soccer is feeling the strain of war.,A $40 million Ukrainian claim against FIFA shows how even soccer is feeling the strain of war.
,article,nyt://article/56da40fa-c3ad-5d95-87b5-20e6e2beda5f,[],Foreign,,,2022-12-09 09:17:25+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/56da40fa-c3ad-5d95-87b5-20e6e2beda5f,https://www.nytimes.com/live/2022/12/09/world/brittney-griner-russia-ukraine-news/the-kremlin-plays-down-putins-claim-of-territorial-gains-in-ukraine,349,By Anatoly Kurmanaev,The Kremlin plays down Putin’s claim of territorial gains in Ukraine.,,,"A photograph released by Russian state media showing President Vladimir V. Putin during a meeting, via video conference, in Moscow on Wednesday.","Mikhail Metzel/Sputnik, via Agence France-Presse — Getty Images",https://static01.nyt.com/images/2022/12/07/multimedia/08ukraine-briefing-peskov-image/07ukraine-ledeall-1-1-f21e-articleLarge.jpg,396,600,https://static01.nyt.com/images/2022/12/07/multimedia/08ukraine-briefing-peskov-image/07ukraine-ledeall-1-1-f21e-thumbStandard.jpg,75,75,The Kremlin plays down Putin’s claim of territorial gains in Ukraine.,The Kremlin plays down Putin’s claim of territorial gains in Ukraine.
"A “complex and extensive” initial investigation into debris from the northern leak site of the natural gas pipelines showed evidence of explosives, Swedish prosecutors said, but",article,nyt://article/c50a4ee9-b9d5-5d12-806b-189b344c1d65,[],Foreign,3.0,B,2022-11-18 10:58:58+00:00,World,"A “complex and extensive” initial investigation into debris from the northern leak site of the natural gas pipelines showed evidence of explosives, Swedish prosecutors said, but",The New York Times,Europe,Live Blog Post,nyt://article/c50a4ee9-b9d5-5d12-806b-189b344c1d65,https://www.nytimes.com/live/2022/11/18/world/russia-ukraine-war-news/swedish-investigators-find-traces-of-explosives-on-debris-from-the-ruptured-nord-stream-pipelines,552,By Melissa Eddy,Residue of explosives at the Nord Stream site backs European claims of sabotage.,,Authorities Say Pipeline Blast Was an Act Of Sabotage ,A series of undersea explosions ripped holes in the Nord Stream pipelines in late September.,"Danish Defence Command, via Agence France-Press — Getty Images",https://static01.nyt.com/images/2022/11/02/world/18ukraine-briefing-pipeline-image/03ambriefing-europe-nl-promo-oct-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/11/02/world/18ukraine-briefing-pipeline-image/03ambriefing-europe-nl-promo-oct-thumbStandard.jpg,75,75,Residue of explosives at the Nord Stream site backs European claims of sabotage.,"Residue of explosives at the Nord Stream site backs European claims of sabotage. A “complex and extensive” initial investigation into debris from the northern leak site of the natural gas pipelines showed evidence of explosives, Swedish prosecutors said, but A “complex and extensive” initial investigation into debris from the northern leak site of the natural gas pipelines showed evidence of explosives, Swedish prosecutors said, but"
A report from the military found no voter fraud — but left room for Bolsonaro’s supporters to argue maybe he’d actually won.,article,nyt://article/a11a45f8-dbcb-5305-a392-a1c503e901de,"[{'name': 'Location', 'value': 'Brazil', 'rank': 1}, {'name': 'Subject', 'value': 'Elections', 'rank': 2}, {'name': 'Person', 'value': 'Bolsonaro, Jair (1955- )', 'rank': 3}, {'name': 'Person', 'value': 'Da Silva, Luiz Inacio Lula', 'rank': 4}, {'name': 'Person', 'value': 'Moraes, Alexandre de (1968- )', 'rank': 5}, {'name': 'Subject', 'value': 'Voter Fraud (Election Fraud)', 'rank': 6}, {'name': 'Subject', 'value': 'Rumors and Misinformation', 'rank': 7}, {'name': 'Subject', 'value': 'Voting Machines', 'rank': 8}, {'name': 'Subject', 'value': 'Computer Security', 'rank': 9}, {'name': 'Subject', 'value': 'Voting and Voters', 'rank': 10}, {'name': 'Subject', 'value': 'Polls and Public Opinion', 'rank': 11}]",Foreign,4.0,A,2022-11-10 16:06:20+00:00,World,A report from the military found no voter fraud — but left room for Bolsonaro’s supporters to argue maybe he’d actually won.,The New York Times,Americas,News,nyt://article/a11a45f8-dbcb-5305-a392-a1c503e901de,https://www.nytimes.com/2022/11/10/world/americas/brazil-election-fraud.html,1394,By Jack Nicas,Brazil Counted All Its Votes in Hours. It Still Faces Fraud Claims.,,"Brazil Election Report Finds No Sign of Fraud, Yet Fuels Disbelief","Supporters of President Jair Bolsonaro demonstrated last week in São Paulo after his electoral defeat, calling for military intervention.",Victor Moriyama for The New York Times,https://static01.nyt.com/images/2022/11/10/world/10brazil-election1/merlin_215911746_fdb407ca-1390-474b-b100-a53c18d1d8cc-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/11/10/world/10brazil-election1/10brazil-election1-thumbStandard.jpg,75,75,Brazil Counted All Its Votes in Hours. It Still Faces Fraud Claims.,Brazil Counted All Its Votes in Hours. It Still Faces Fraud Claims. A report from the military found no voter fraud — but left room for Bolsonaro’s supporters to argue maybe he’d actually won. A report from the military found no voter fraud — but left room for Bolsonaro’s supporters to argue maybe he’d actually won.
The International Atomic Energy Agency said its inspections had found no evidence of illegal nuclear activity at three sites that figured in Russia’s claims.,article,nyt://article/57b7b38d-87fc-53d6-b89e-a91647b7d40f,"[{'name': 'Subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 1}, {'name': 'Subject', 'value': 'Dirty Bombs and Radiological Weapons', 'rank': 2}, {'name': 'Subject', 'value': 'International Relations', 'rank': 3}, {'name': 'Organization', 'value': 'International Atomic Energy Agency', 'rank': 4}, {'name': 'Organization', 'value': 'United Nations', 'rank': 5}, {'name': 'Location', 'value': 'Russia', 'rank': 6}, {'name': 'Location', 'value': 'Ukraine', 'rank': 7}]",Foreign,,,2022-11-03 18:54:47+00:00,World,The International Atomic Energy Agency said its inspections had found no evidence of illegal nuclear activity at three sites that figured in Russia’s claims.,The New York Times,Europe,News,nyt://article/57b7b38d-87fc-53d6-b89e-a91647b7d40f,https://www.nytimes.com/2022/11/03/world/europe/iaea-ukraine-dirty-bomb.html,400,By Matthew Mpoke Bigg,The U.N.’s nuclear watchdog finds no evidence for Russia’s claim that Ukraine is readying a ‘dirty bomb.’,,,"Rafael M. Grossi, the director general of the International Atomic Energy Agency, the U.N.’s nuclear watchdog, after visiting the Zaporizhzhia nuclear complex in September.",Jim Huylebroek for The New York Times,https://static01.nyt.com/images/2022/11/03/multimedia/03ukraine-briefing-IAEA-dirty-bomb-01-1-5c16/03ukraine-briefing-IAEA-dirty-bomb-01-1-5c16-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/11/03/multimedia/03ukraine-briefing-IAEA-dirty-bomb-01-1-5c16/03ukraine-briefing-IAEA-dirty-bomb-01-1-5c16-thumbStandard.jpg,75,75,The U.N.’s nuclear watchdog finds no evidence for Russia’s claim that Ukraine is readying a ‘dirty bomb.’,The U.N.’s nuclear watchdog finds no evidence for Russia’s claim that Ukraine is readying a ‘dirty bomb.’ The International Atomic Energy Agency said its inspections had found no evidence of illegal nuclear activity at three sites that figured in Russia’s claims. The International Atomic Energy Agency said its inspections had found no evidence of illegal nuclear activity at three sites that figured in Russia’s claims.
,article,nyt://article/27e7dbe1-b51b-5cd8-b744-3e1251151d45,[],Foreign,,,2022-11-01 09:30:22+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/27e7dbe1-b51b-5cd8-b744-3e1251151d45,https://www.nytimes.com/live/2022/11/01/world/russia-ukraine-war-news/the-uns-nuclear-agency-is-investigating-dirty-bomb-claims-at-ukraines-request,340,By Matt Stevens,The U.N.’s nuclear agency is investigating ‘dirty bomb’ claims at Ukraine’s request.,,,Preparing to clear a building of possible explosives in a part of Ukraine’s Kherson region that was previously occupied by Russian forces.,Finbarr O'Reilly for The New York Times,https://static01.nyt.com/images/2022/11/01/multimedia/01ukraine-briefing-dirty-bomb-inspection-1-b09d/01ukraine-briefing-dirty-bomb-inspection-1-b09d-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/11/01/multimedia/01ukraine-briefing-dirty-bomb-inspection-1-b09d/01ukraine-briefing-dirty-bomb-inspection-1-b09d-thumbStandard.jpg,75,75,The U.N.’s nuclear agency is investigating ‘dirty bomb’ claims at Ukraine’s request.,The U.N.’s nuclear agency is investigating ‘dirty bomb’ claims at Ukraine’s request.
,article,nyt://article/94fbf73b-817d-5749-afa5-54e9920d6190,[],Foreign,,,2022-10-31 16:59:28+00:00,World,,The New York Times,Americas,Live Blog Post,nyt://article/94fbf73b-817d-5749-afa5-54e9920d6190,https://www.nytimes.com/live/2022/10/31/world/brazil-election-lula-bolsonaro/right-wing-voices-the-united-states-claim-lulas-victory-in-brazil-was-fraudulent,384,By Ken Bensinger,Right-wing voices in the United States claim Lula’s victory in Brazil was fraudulent.,,,Stephen Bannon exiting a Manhattan courthouse last month after surrendering to the Manhattan district attorney’s office.,Sarah Blesener for The New York Times,https://static01.nyt.com/images/2022/10/31/multimedia/31brazil-us-politics-bannon-1-fde1/31brazil-us-politics-bannon-1-fde1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/10/31/multimedia/31brazil-us-politics-bannon-1-fde1/31brazil-us-politics-bannon-1-fde1-thumbStandard.jpg,75,75,Right-wing voices in the United States claim Lula’s victory in Brazil was fraudulent.,Right-wing voices in the United States claim Lula’s victory in Brazil was fraudulent.
,article,nyt://article/3d50b6f8-71a8-5132-b862-3cc7130fd0d6,[],Washington,,,2022-10-26 18:34:24+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/3d50b6f8-71a8-5132-b862-3cc7130fd0d6,https://www.nytimes.com/live/2022/10/26/world/russia-ukraine-war-news/a-chinese-cybergroup-helped-spread-false-claims-about-the-nord-stream-blasts-a-cybersecurity-firm-says,366,By Julian E. Barnes and David E. Sanger,"A Chinese cybergroup helped spread false claims about the Nord Stream blasts, a cybersecurity firm says.",,,"This handout image released by Danish military authorities shows leaking gas from the Nord Stream 2 gas pipeline, off Denmark’s Baltic island of Bornholm, in late September.","Danish Defence, via Agence France-Presse/ Getty Images",https://static01.nyt.com/images/2022/09/28/business/26ukraine-briefing-chinese-cyber-1/26ukraine-briefing-chinese-cyber-1-articleLarge-v2.jpg,400,600,https://static01.nyt.com/images/2022/09/28/business/26ukraine-briefing-chinese-cyber-1/28pipeline-explainer-4-thumbStandard.jpg,75,75,"A Chinese cybergroup helped spread false claims about the Nord Stream blasts, a cybersecurity firm says.","A Chinese cybergroup helped spread false claims about the Nord Stream blasts, a cybersecurity firm says."
,article,nyt://article/1ad9f4a1-3bfc-54b3-bf9a-964e8cbc4466,[],Washington,,,2022-10-24 22:10:54+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/1ad9f4a1-3bfc-54b3-bf9a-964e8cbc4466,https://www.nytimes.com/live/2022/10/24/world/-russia-ukraine-war-news/dirty-bomb-russia,499,"By David E. Sanger, Eric Schmitt and Edward Wong",The State Dept. warns that ‘dirty bomb’ claims could be a pretext for Russian escalation.,,,Ukrainian soldiers collected unexploded ordnance on Monday in a region that was previously occupied by Russian forces.,Finbarr O'Reilly for The New York Times,https://static01.nyt.com/images/2022/11/24/multimedia/24ukraine-briefing-nukes-dc-sub-1-39ee/24ukraine-briefing-nukes-dc-sub-1-39ee-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/11/24/multimedia/24ukraine-briefing-nukes-dc-sub-1-39ee/24ukraine-briefing-nukes-dc-sub-1-39ee-thumbStandard.jpg,75,75,The State Dept. warns that ‘dirty bomb’ claims could be a pretext for Russian escalation.,The State Dept. warns that ‘dirty bomb’ claims could be a pretext for Russian escalation.
,article,nyt://article/36815b96-9a89-5782-b062-014c97213837,[],Foreign,,,2022-10-20 09:51:59+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/36815b96-9a89-5782-b062-014c97213837,https://www.nytimes.com/live/2022/10/20/world/russia-ukraine-war-news/the-apparent-russian-pullback-comes-amid-a-weekslong-ukrainian-counteroffensive,582,"By Michael Schwirtz, Matthew Mpoke Bigg, Andrew E. Kramer and Ivan Nechepurenko","Ukraine claims Russians are withdrawing from Enerhodar, but the status of the southern city remains unclear.",,,The Zaporizhzhia nuclear power plant in August.,David Guttenfelder for The New York Times,https://static01.nyt.com/images/2022/10/20/world/20ukraine-briefing-enerhodar-sub/merlin_211410852_5dce6362-13ff-498d-8c2d-315950031bc2-articleLarge.jpg,400,600,https://static01.nyt.com/images/2022/10/20/world/20ukraine-briefing-enerhodar-sub/merlin_211410852_5dce6362-13ff-498d-8c2d-315950031bc2-thumbStandard.jpg,75,75,"Ukraine claims Russians are withdrawing from Enerhodar, but the status of the southern city remains unclear.","Ukraine claims Russians are withdrawing from Enerhodar, but the status of the southern city remains unclear."
