word,count,happs_score,stddev,2015,2016,2017,2018,2019
claims,368,4.72,1.4434,64,44,28,20,18
major,10,5.76,1.4223,1,1,,,
iraqi,11,3.96,1.3991,7,,3,,
forces,27,4.18,1.5868,3,2,3,,1
lay,3,5.58,1.2792,1,,,,
extreme,1,5.12,1.686,1,,,,
cold,4,4.22,1.7761,2,,,,
weather,4,5.88,1.5205,2,,,,
hundreds,15,5.96,1.6655,4,1,1,1,
lives,10,6.22,1.148,2,,1,1,
navy,2,5.58,1.5131,2,,,,
beating,1,2.56,1.8969,1,,,,
death,36,1.54,1.2811,4,7,,1,1
talks,21,5.82,1.207,4,5,1,1,1
seized,4,3.44,1.4591,1,,1,1,
claim,178,5.18,1.4941,21,25,10,17,11
deadly,43,2.9,1.8171,10,4,5,2,3
attack,76,2.42,1.4299,18,13,7,6,6
market,2,6.28,1.6041,1,,1,,
pakistan,10,3.94,1.1502,2,,1,1,
kim,5,5.22,1.5817,1,,1,1,
north,49,5.52,1.2162,6,9,8,6,4
korea,48,5.34,1.3793,8,6,7,5,4
hydrogen,3,5.63,1.3798,1,1,1,,
bomb,13,1.96,1.2771,3,4,1,,1
draws,8,6.18,1.32,2,,1,1,
responsibility,46,5.72,1.6542,17,13,1,3,2
baghdad,5,3.62,1.9048,3,1,,1,
iran,45,4.3,1.632,8,7,3,3,6
missile,14,3.24,1.8905,1,,2,1,1
test,11,4.06,1.4057,2,2,1,,1
opposition,8,3.48,1.2329,1,,1,,
rare,8,6.02,1.7201,2,,,,
legislative,1,4.7,1.5419,1,,,,
majority,2,5.9,1.1112,1,,1,,
cuba,8,4.98,1.4497,7,,,,
discuss,115,5.96,1.2282,17,8,8,8,1
property,3,5.86,1.5651,3,,,,
authorities,6,4.38,1.1586,1,,,,
groups,4,5.66,1.3032,1,1,,,
history,6,5.84,1.5032,3,,1,,1
calling,2,5.74,1.2586,1,,,,
paris,4,6.86,1.6661,3,1,,,
attacks,32,2.46,1.4598,6,3,2,3,3
corruption,11,2.14,1.3095,3,2,2,2,
chip,2,5.42,1.0515,2,,,,
away,4,4.22,1.2664,1,,1,1,
trust,1,7.22,1.2337,1,,,,
sports,1,6.06,2.2352,1,,,,
killed,81,1.56,1.2316,9,12,4,6,11
dozens,20,5.7,1.2817,3,2,1,1,2
independence,1,7.28,1.5913,1,,,,
south,61,6.16,1.6081,11,7,5,7,5
china,78,5.4,1.7023,19,11,12,6,2
sea,14,6.94,1.2843,3,2,4,1,
islands,3,6.58,1.9493,1,1,,,
struck,1,3.5,1.4033,1,,,,
police,45,4.58,1.8526,13,9,4,2,1
publishers,2,5.68,1.2196,2,,,,
camp,9,6.26,1.5361,4,1,1,1,
challenging,3,6.1,1.5419,2,1,,,
chinese,60,5.64,1.4813,17,14,4,3,3
sends,2,5.92,0.9223,2,,,,
near,18,5.72,1.6041,1,3,2,1,
artificial,1,3.9,1.5682,1,,,,
island,9,6.78,1.5425,1,1,3,1,
chain,2,5.16,1.5301,1,,,,
fraud,12,2.3,1.1824,1,2,2,,2
delay,4,3.38,1.3231,1,,,,
elections,14,4.48,1.5285,1,2,2,,1
cities,8,5.58,1.4995,2,,,1,
saudi,13,4.58,1.4299,4,3,2,2,
prayer,1,6.48,2.2061,1,,,,
new,160,6.82,1.1373,14,13,4,7,6
branch,3,5.52,1.1471,2,,,,
canada,11,5.98,1.5318,2,,1,,1
stephen,1,5.54,1.1817,1,,,,
office,7,5.12,1.6243,2,,2,,
russia,100,5.5,1.374,4,4,2,1,2
missiles,4,2.82,1.5868,1,,,1,1
aimed,2,5.52,1.581,1,,,,
hit,11,4.58,1.808,2,1,,,1
bbc,8,5.98,1.2534,1,3,,,
doubt,5,3.16,1.2675,2,,,,1
british,26,5.66,1.6977,6,5,2,,1
ring,1,6.32,1.6835,1,,,,
car,6,6.72,2.1,3,,,,
bombing,20,2.24,1.4786,4,8,3,,1
presidential,5,5.94,1.5174,1,,,,1
palace,2,6.68,1.6468,1,1,,,
claimed,36,5.4,1.178,2,2,3,3,11
holding,3,5.64,1.1205,1,,,,1
details,8,5.74,1.2257,5,,,1,
sexual,23,6.2,1.4569,4,2,2,2,1
abuse,35,1.88,1.2395,11,3,1,3,3
troops,17,5.16,2.0639,3,,,1,
kills,20,1.78,1.2337,3,2,2,,1
edward,2,5.26,1.2423,2,,,,
case,21,5.02,1.3013,4,1,,1,1
debate,8,4.94,1.5174,2,,1,,1
validity,1,6.08,1.1578,1,,,,
sex,19,7.44,1.6801,5,2,3,1,2
stakes,3,4.78,0.9538,1,1,1,,
review,1,5.32,1.019,1,,,,
relations,2,6.3,1.6067,1,,,1,
issue,6,4.48,1.4032,4,,1,,
egyptian,7,5.78,1.5556,6,,,,
affiliate,6,5.68,1.2526,3,,,1,
islamic,111,4.66,1.5201,44,15,14,4,7
state,662,5.28,0.9697,96,53,52,27,31
egypt,12,6.26,1.1572,3,2,2,,1
destruction,2,2.26,1.5093,2,,,,
naval,3,5.48,1.2493,1,,,,
