word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
claims,368,4.72,1.4434,24,13,45,63,20,29
major,10,5.76,1.4223,1,1,3,1,1,1
iraqi,11,3.96,1.3991,,,,,1,
forces,27,4.18,1.5868,2,3,5,4,2,2
lay,3,5.58,1.2792,,,2,,,
extreme,1,5.12,1.686,,,,,,
cold,4,4.22,1.7761,,1,1,,,
weather,4,5.88,1.5205,,,,,2,
hundreds,15,5.96,1.6655,1,,2,3,,2
lives,10,6.22,1.148,,5,,,,1
navy,2,5.58,1.5131,,,,,,
beating,1,2.56,1.8969,,,,,,
death,36,1.54,1.2811,5,7,1,2,8,
talks,21,5.82,1.207,,,1,2,5,1
seized,4,3.44,1.4591,,,,1,,
claim,178,5.18,1.4941,7,19,23,21,11,13
deadly,43,2.9,1.8171,1,,2,6,5,5
attack,76,2.42,1.4299,1,3,1,9,9,3
market,2,6.28,1.6041,,,,,,
pakistan,10,3.94,1.1502,2,,,2,,2
kim,5,5.22,1.5817,2,,,,,
north,49,5.52,1.2162,1,3,7,4,,1
korea,48,5.34,1.3793,4,2,9,1,1,1
hydrogen,3,5.63,1.3798,,,,,,
bomb,13,1.96,1.2771,1,,,2,1,
draws,8,6.18,1.32,,1,,1,1,1
responsibility,46,5.72,1.6542,,3,1,1,3,2
baghdad,5,3.62,1.9048,,,,,,
iran,45,4.3,1.632,2,1,1,6,5,3
missile,14,3.24,1.8905,,1,1,4,3,
test,11,4.06,1.4057,3,2,,,,
opposition,8,3.48,1.2329,,,,2,1,3
rare,8,6.02,1.7201,,2,2,1,,1
legislative,1,4.7,1.5419,,,,,,
majority,2,5.9,1.1112,,,,,,
cuba,8,4.98,1.4497,,1,,,,
discuss,115,5.96,1.2282,4,10,15,21,14,9
property,3,5.86,1.5651,,,,,,
authorities,6,4.38,1.1586,,,,3,1,1
groups,4,5.66,1.3032,,1,,,1,
history,6,5.84,1.5032,,,,,1,
calling,2,5.74,1.2586,,,1,,,
paris,4,6.86,1.6661,,,,,,
attacks,32,2.46,1.4598,1,1,1,7,3,2
corruption,11,2.14,1.3095,,1,,1,,
chip,2,5.42,1.0515,,,,,,
away,4,4.22,1.2664,,,,,,1
trust,1,7.22,1.2337,,,,,,
sports,1,6.06,2.2352,,,,,,
killed,81,1.56,1.2316,7,2,4,11,9,6
dozens,20,5.7,1.2817,,4,2,4,1,
independence,1,7.28,1.5913,,,,,,
south,61,6.16,1.6081,6,6,6,1,1,6
china,78,5.4,1.7023,12,3,3,5,4,1
sea,14,6.94,1.2843,1,,,1,2,
islands,3,6.58,1.9493,,1,,,,
struck,1,3.5,1.4033,,,,,,
police,45,4.58,1.8526,4,4,6,1,1,
publishers,2,5.68,1.2196,,,,,,
camp,9,6.26,1.5361,,,2,,,
challenging,3,6.1,1.5419,,,,,,
chinese,60,5.64,1.4813,6,2,4,1,3,3
sends,2,5.92,0.9223,,,,,,
near,18,5.72,1.6041,1,1,3,4,2,
artificial,1,3.9,1.5682,,,,,,
island,9,6.78,1.5425,1,,,1,,1
chain,2,5.16,1.5301,,,,,,1
fraud,12,2.3,1.1824,,1,1,2,,1
delay,4,3.38,1.3231,1,1,1,,,
elections,14,4.48,1.5285,,,1,2,4,1
cities,8,5.58,1.4995,1,,3,,,1
saudi,13,4.58,1.4299,1,,,,1,
prayer,1,6.48,2.2061,,,,,,
new,160,6.82,1.1373,37,32,22,11,11,3
branch,3,5.52,1.1471,,,,,1,
canada,11,5.98,1.5318,,1,,2,,4
stephen,1,5.54,1.1817,,,,,,
office,7,5.12,1.6243,,,1,1,,1
russia,100,5.5,1.374,1,1,39,31,8,7
missiles,4,2.82,1.5868,,,,,1,
aimed,2,5.52,1.581,,,,1,,
hit,11,4.58,1.808,1,1,3,,2,
bbc,8,5.98,1.2534,1,,1,2,,
doubt,5,3.16,1.2675,,,2,,,
british,26,5.66,1.6977,2,3,3,1,,3
ring,1,6.32,1.6835,,,,,,
car,6,6.72,2.1,,1,,2,,
bombing,20,2.24,1.4786,,,1,2,1,
presidential,5,5.94,1.5174,,,,2,,1
palace,2,6.68,1.6468,,,,,,
claimed,36,5.4,1.178,2,2,3,5,2,1
holding,3,5.64,1.1205,,,1,,,
details,8,5.74,1.2257,,,1,1,,
sexual,23,6.2,1.4569,,3,1,1,7,
abuse,35,1.88,1.2395,2,5,4,,2,1
troops,17,5.16,2.0639,2,3,5,3,,
kills,20,1.78,1.2337,2,,3,3,2,2
edward,2,5.26,1.2423,,,,,,
case,21,5.02,1.3013,2,8,,,3,1
debate,8,4.94,1.5174,,2,1,,1,
validity,1,6.08,1.1578,,,,,,
sex,19,7.44,1.6801,2,2,,,1,1
stakes,3,4.78,0.9538,,,,,,
review,1,5.32,1.019,,,,,,
relations,2,6.3,1.6067,,,,,,
issue,6,4.48,1.4032,1,,,,,
egyptian,7,5.78,1.5556,,,,,1,
affiliate,6,5.68,1.2526,,,,1,1,
islamic,111,4.66,1.5201,3,4,4,1,6,9
state,662,5.28,0.9697,65,79,77,68,61,53
egypt,12,6.26,1.1572,,1,,2,1,
destruction,2,2.26,1.5093,,,,,,
naval,3,5.48,1.2493,1,,,1,,
vessel,2,5.78,1.2461,,,,1,,
blast,11,4.22,2.1217,1,1,1,2,,
italian,4,6.48,1.6318,,,1,1,1,
worried,2,2.42,1.1796,,,,,,1
greek,4,6.08,1.2591,,,,1,,
line,3,4.98,1.2036,,,,1,,
just,11,5.76,1.6233,2,3,1,1,,1
canadian,12,5.84,1.8556,,2,,,4,
senator,4,4.58,1.4299,,2,,,,
affair,3,4.02,1.8349,,,,,,
