headline,happs_score
U.S. landlords claim in a lawsuit that an eviction freeze unfairly cost them billions.,4.64
"Critics Pounce on Naomi Osaka After Loss, Denting Japan’s Claim to Diversity",5.07
"Canadian province declares a state of emergency, evacuating thousands.",5.336
She Said She Married for Love. Her Parents Called It Coercion.,5.948888888888889
5 Texas Democrats who fled their state to stall a voting bill test positive in Washington.,5.212307692307693
"‘We have to make the state more climate-proof,’ one official says in response to Germany’s floods.",5.46
Big Dreams and False Claims: How Colombians Got Embroiled in Haiti Assassination,5.2375
"As Haiti plans a state funeral, how much can it unite the nation?",5.334545454545455
The doctor named as a suspect in the president’s killing said he was ‘sent by God.’,4.773846153846154
Haiti’s police claim a Florida-based doctor recruited mercenaries.,5.085
Haitians denounce photos said to be of Moïse’s corpse.,5.5840000000000005
Dueling Claims to Power. Broken Institutions. How Does Haiti Fix This?,4.708571428571429
A message said to be from the president’s widow is posted to Twitter.,5.098181818181818
Blast in Tehran Near State Broadcasting Headquarters Rattles Iran,5.1571428571428575
"Two arrested Americans claim they were just ‘translators’ in the assassination plot, a Haitian judge says.",5.054545454545455
"In a video, assassins in Haiti claim to be agents from the U.S. Drug Enforcement Administration.",4.883333333333334
Political Crisis in Haiti Deepens Over Rival Claims to Power,4.56
"An experiment in Paris suggests indoor concerts can be held safely, with precautions.",5.792
A top U.N. official in Haiti offers support for Claude Joseph’s claim of national authority.,5.5618181818181816
Spectators will be barred from the Olympics as Japan declares a new state of emergency for Tokyo.,5.435384615384615
Covid may have claimed the lives of even more U.S. inmates than reported.,5.288
U.K. Proposes Moving Asylum Seekers Abroad While Their Cases Are Decided,5.502857142857144
"The challenge in Arkansas? Young people who aren’t vaccinated, the governor said.",5.5525
Pope Francis Undergoes Colon Surgery and Is Said to Be Doing Well,5.220000000000001
"Fraud Claims, Unproved, Delay Peru’s Election Result and Energize the Right",4.8
"As England’s Deer Population Explodes, Some Propose a Mass Cull",5.215999999999999
A strong opening for the latest ‘Fast & Furious’ suggests the movie crowd is back.,5.598181818181818
"Due to Covid-19 protocols, a College World Series run ends abruptly for North Carolina State.",5.345454545454545
Munich Wanted to Light Its Stadium in a Pride Rainbow. European Soccer Said No.,5.674545454545455
Germany Recalls Platoon on NATO Mission Over Sexual Assault and Racism Claims,5.068888888888889
"Five weeks before the Olympics, Tokyo’s state of emergency will be eased.",5.04
"Taiwan claims that China has kept it from buying German vaccines, an accusation China called ‘fabricated.’",5.316923076923077
"Ukraine, at war with Russian-backed separatists, said it would reject any deals from the summit.",5.008
"With cyberattacks increasing, Biden said he would press Putin for a halt.",5.388571428571429
Vermont is the first state to partially vaccinate at least 80 percent of its eligible population.,5.296923076923077
"Heading toward the Putin meeting, Biden said he was not seeking conflict.",5.1975
"India’s death toll spikes after one state’s audit showed a huge undercount, and other international news.",5.002
Former Students Win Racial Profiling Case Against French State,5.3225
German Conservatives Win Last State Election Before National Vote,5.402222222222222
Netanyahu vows to fight on as difficult details may yet doom the proposed coalition.,4.718181818181818
Turkey Claims to Have ‘Captured’ Cleric’s Relative in Kenya,5.626666666666666
Japan extends a state of emergency until one month before the Olympics.,5.0618181818181816
