word,count,happs_score,stddev
iran,18,4.3,1.632
claims,194,4.72,1.4434
arrests,2,2.72,1.5913
killing,5,1.7,1.359
nuclear,22,3.28,1.7847
scientist,4,6.18,1.2887
rights,9,6.48,1.555
best,1,7.18,1.6866
regulators,1,4.88,1.5205
officials,42,4.76,1.3637
beg,1,3.08,1.336
china,28,5.4,1.7023
laying,1,5.14,1.0104
claim,94,5.18,1.4941
south,26,6.16,1.6081
think,1,6.2,1.2936
victory,16,7.98,1.0784
conflict,4,3.1,1.5286
capital,7,5.92,1.2428
role,5,5.68,0.8908
strictly,2,4.35,1.7625
despite,13,4.48,1.3438
unemployment,10,2.12,1.0029
jumped,1,5.56,1.3426
week,3,5.08,1.4546
virus,29,2.08,1.3377
cases,40,4.82,0.919
new,116,6.82,1.1373
state,403,5.28,0.9697
insurance,2,5.24,1.9646
filed,5,4.84,1.1314
bbc,4,5.98,1.2534
orders,8,4.24,1.4786
inquiry,3,4.66,1.3793
diana,2,5.76,1.3933
interview,2,5.06,1.2843
princess,1,7.08,1.5758
capture,3,4.18,1.6986
key,9,5.82,1.0631
town,6,5.88,1.5338
fell,2,3.22,1.4748
prisoners,6,2.44,1.4591
escape,1,5.64,2.0777
jail,1,1.76,1.0214
attack,26,2.42,1.4299
claimed,15,5.4,1.178
nearly,10,5.26,1.2423
people,10,6.16,1.5826
takes,4,5.04,1.1421
issue,1,4.48,1.4032
trump,36,5.3,1.7053
unable,1,3.1,0.8391
spread,7,5.48,1.1292
twitter,1,5.46,1.9082
post,2,5.48,1.0925
remain,6,5.52,1.1471
little,2,4.6,1.3401
relief,3,6.86,1.6037
far,3,4.38,1.817
experts,6,6.28,1.4434
leader,19,6.38,1.3384
crush,1,5.12,1.7454
protests,10,4.24,1.6358
election,12,5.18,1.3506
win,4,8.12,1.0812
says,112,5.28,1.1959
sea,4,6.94,1.2843
illegal,5,2.86,1.3704
tells,3,5.32,1.2688
governors,3,4.76,1.546
repeat,1,5.14,1.2456
world,11,6.52,1.6567
war,44,1.8,1.4142
witnesses,1,4.78,1.4609
americans,8,6.5,1.6933
captured,2,3.22,1.6073
failed,5,1.84,0.9971
invasion,4,3.42,2.0212
stopped,1,3.86,1.2291
armed,2,3.84,1.8556
afghanistan,4,3.56,1.7861
investigating,6,4.84,1.1669
killed,39,1.56,1.2316
iranian,13,4.22,1.148
guards,1,4.3,1.7173
north,16,5.52,1.2162
korea,18,5.34,1.3793
fishing,1,6.18,1.826
riches,1,7.39,1.6685
named,2,5.58,0.8593
opponent,2,3.9,1.5419
deal,4,6.32,1.0774
security,20,6.1,1.632
forces,18,4.18,1.5868
directed,1,5.46,1.073
florida,5,6.7,1.6568
naval,2,5.48,1.2493
base,4,5.08,1.0467
shooting,5,2.52,1.7407
protesters,6,3.8,1.6903
israel,44,4.78,1.7296
sovereignty,2,5.88,1.7516
west,8,5.68,1.3468
bank,5,5.92,1.6268
bomb,4,1.96,1.2771
blast,5,4.22,2.1217
kills,12,1.78,1.2337
pakistan,6,3.94,1.1502
used,6,4.6,1.4846
control,12,5.38,1.4831
national,8,5.98,1.1516
grip,2,5.47,1.7091
power,12,6.68,1.4907
long,5,4.74,1.6637
avoided,1,3.98,1.5185
discussing,11,5.76,1.7209
mental,2,4.8,1.8183
changed,1,5.06,1.0956
advisory,1,4.8,1.1952
group,9,5.92,1.2095
discussed,13,5.56,1.4591
leaders,18,5.88,1.3192
meet,12,6.38,1.2599
discuss,73,5.96,1.2282
rescue,1,6.62,1.6646
ahead,4,6.08,1.3679
pilots,3,5.8,1.4286
say,17,5.54,0.9941
race,4,5.76,1.4365
