word,frequency
new,70
ukraine,44
year,34
christmas,31
day,30
dies,24
city,22
briefing,21
york,21
zelensky,19
russia,19
storm,18
russian,17
trump,17
china,17
says,16
life,16
holiday,16
air,15
jan,15
buffalo,15
review,15
know,14
putin,14
house,14
week,14
santos,14
covid,14
power,14
southwest,13
war,12
best,12
time,12
george,12
did,12
spelling,11
bee,11
crisis,11
washington,11
south,11
dead,11
friday,10
weekend,10
forum,10
dec,10
deaths,10
military,10
cold,10
great,9
ukrainian,9
workers,9
biden,9
man,9
good,9
big,9
corrections,9
travel,9
congress,9
notable,9
years,8
winter,8
water,8
sports,8
say,8
thousands,8
quotation,8
government,8
travelers,8
books,8
coming,8
homes,8
america,8
weather,8
eve,8
bankman,8
fried,8
evening,7
food,7
kyiv,7
killed,7
peace,7
home,7
way,7
white,7
times,7
california,7
stranded,7
world,7
takes,7
favorite,7
just,7
does,7
border,7
aid,7
hope,7
art,7
lost,7
isn,7
children,7
sam,7
president,7
work,7
court,6
path,6
final,6
making,6
black,6
climate,6
battle,6
tax,6
chief,6
weapons,6
update,6
end,6
face,6
little,6
american,6
attacks,6
need,6
energy,6
trip,6
residents,6
twitter,6
thursday,6
close,6
israel,6
support,6
drones,6
near,6
women,6
report,6
change,6
family,6
questions,6
make,6
la,6
don,6
officials,6
senate,6
fryer,6
moscow,5
woman,5
star,5
leader,5
jewish,5
needs,5
town,5
hours,5
spending,5
musk,5
bad,5
won,5
state,5
soccer,5
test,5
met,5
latest,5
attack,5
movies,5
stream,5
case,5
people,5
deal,5
road,5
drop,5
plan,5
long,5
million,5
high,5
welcome,5
game,5
right,5
prison,5
federal,5
role,5
flights,5
buy,5
temperatures,5
race,5
opera,5
western,5
shows,5
stories,5
hard,5
belarus,5
sale,5
public,5
inside,5
health,5
canada,5
going,5
judge,5
missiles,5
nearly,5
chicken,5
leave,5
newly,5
finds,5
police,5
delays,5
region,5
authorities,4
killings,4
recipes,4
far,4
away,4
victims,4
signs,4
team,4
democrats,4
went,4
tesla,4
days,4
charged,4
university,4
dinner,4
cook,4
ahead,4
major,4
market,4
talks,4
xi,4
law,4
dozens,4
cancellations,4
history,4
leaving,4
novel,4
tell,4
look,4
things,4
read,4
eye,4
union,4
joy,4
rules,4
campaign,4
shutdown,4
advice,4
blizzard,4
watching,4
story,4
arizona,4
love,4
better,4
line,4
music,4
strike,4
wants,4
tech,4
want,4
stand,4
iran,4
windfall,4
finding,4
community,4
red,4
committee,4
pandemic,4
wednesday,4
ask,4
chapter,4
raises,4
french,4
france,4
list,4
anxiety,4
north,4
party,4
dream,4
like,4
got,4
amid,4
guilty,4
moves,4
paris,4
east,4
parents,4
record,4
bucha,4
shooting,4
ice,4
really,4
comes,4
fears,4
germany,4
fall,4
conditions,4
changed,4
panel,4
avoid,4
suspect,3
murder,3
accuses,3
friends,3
opposition,3
head,3
child,3
dance,3
having,3
package,3
said,3
artists,3
battered,3
wins,3
readers,3
singer,3
chaos,3
app,3
issues,3
drug,3
key,3
returns,3
forces,3
human,3
kills,3
bid,3
giving,3
housing,3
closer,3
open,3
act,3
low,3
called,3
magazine,3
school,3
politics,3
feeling,3
highlights,3
netanyahu,3
square,3
bear,3
start,3
pictures,3
funding,3
brought,3
fashion,3
data,3
justice,3
sues,3
political,3
daughter,3
using,3
forever,3
electric,3
address,3
falsehoods,3
sanctions,3
missing,3
insists,3
station,3
area,3
passes,3
defense,3
manhattan,3
job,3
page,3
rule,3
strikes,3
marriage,3
place,3
needed,3
come,3
blood,3
john,3
past,3
dark,3
holidays,3
stop,3
special,3
grid,3
guide,3
predictions,3
serial,3
users,3
faces,3
artist,3
africa,3
hits,3
pop,3
lawmakers,3
signal,3
use,3
foreign,3
toll,3
conflict,3
reason,3
americans,3
staff,3
includes,3
scene,3
space,3
kherson,3
woes,3
korean,3
moments,3
chair,3
employees,3
published,3
snow,3
st,3
hopes,3
flight,3
tuesday,3
policy,3
stay,3
bans,3
recent,3
early,3
west,3
bond,3
rising,3
came,3
group,3
investigation,3
getting,3
set,3
ranks,3
base,3
lead,3
refugees,3
korea,3
britain,3
village,3
sound,3
navidad,3
dangerous,3
morning,3
brooklyn,3
shoppers,3
outages,3
shelling,3
leaves,3
ftx,3
iowa,3
reporter,3
freeze,3
spy,3
billion,3
mysterious,3
sydney,3
hobart,3
crew,3
science,3
babylon,3
ring,3
goes,3
extreme,3
pork,2
charity,2
supreme,2
learned,2
arrested,2
idaho,2
soaring,2
brings,2
juan,2
venezuela,2
historian,2
drone,2
nato,2
arms,2
turkish,2
resort,2
google,2
appeals,2
saudi,2
style,2
old,2
national,2
stocks,2
makers,2
iranian,2
player,2
return,2
try,2
ohio,2
title,2
runs,2
scandal,2
rick,2
sentenced,2
speaker,2
election,2
student,2
pardons,2
miami,2
celebrate,2
creative,2
increase,2
ticket,2
sales,2
trafficking,2
weekender,2
oil,2
eastern,2
sea,2
brazil,2
prepares,2
took,2
characters,2
clean,2
mall,2
turning,2
cinema,2
unmotivated,2
cowboys,2
beat,2
thrived,2
daily,2
draft,2
moment,2
media,2
freedom,2
steps,2
normal,2
puts,2
young,2
musicians,2
thank,2
japan,2
release,2
architect,2
ideas,2
stock,2
bargain,2
airlines,2
happened,2
charts,2
returning,2
paperbacks,2
continues,2
small,2
era,2
jew,2
monster,2
ball,2
midnight,2
view,2
beautiful,2
december,2
consequences,2
sexual,2
prep,2
likely,2
variety,2
news,2
quiz,2
tyson,2
expect,2
vivienne,2
westwood,2
pieces,2
transcripts,2
response,2
awards,2
deadly,2
provocative,2
gone,2
center,2
missile,2
barrage,2
staggers,2
defenses,2
canceled,2
egg,2
chinese,2
paul,2
condemns,2
pay,2
texas,2
live,2
vehicles,2
credits,2
rescue,2
park,2
democrat,2
victory,2
general,2
recommend,2
inquiry,2
sweet,2
savory,2
fedora,2
tale,2
expected,2
half,2
mix,2
pain,2
office,2
testing,2
death,2
princeton,2
suicide,2
january,2
penn,2
free,2
shot,2
uses,2
ways,2
crosswords,2
