word,frequency,happiness_score
new,70,6.82
year,34,5.38
christmas,31,7.96
day,30,6.24
dies,24,2.08
city,22,5.76
briefing,21,5.36
york,21,5.62
russia,19,5.5
storm,18,4.26
russian,17,5.52
trump,17,5.3
china,17,5.4
says,16,5.28
life,16,7.32
holiday,16,7.68
buffalo,15,5.5
review,15,5.32
jan,15,5.4
air,15,6.8
know,14,6.1
house,14,6.34
week,14,5.08
power,14,6.68
southwest,13,5.82
time,12,5.74
did,12,5.58
george,12,5.26
best,12,7.18
war,12,1.8
bee,11,5.36
crisis,11,2.48
washington,11,6.04
south,11,6.16
dead,11,2.0
deaths,10,1.64
cold,10,4.22
military,10,4.78
dec,10,5.38
weekend,10,8.0
forum,10,5.94
friday,10,6.88
travel,9,7.18
great,9,7.88
workers,9,5.78
man,9,5.9
good,9,7.2
big,9,6.22
congress,9,4.34
weather,8,5.88
homes,8,6.62
america,8,6.76
books,8,7.28
eve,8,5.62
fried,8,5.7
coming,8,5.84
thousands,8,6.14
travelers,8,6.26
government,8,4.64
say,8,5.54
sports,8,6.06
water,8,6.7
winter,8,5.9
years,8,5.28
lost,7,2.76
border,7,4.9
aid,7,6.24
hope,7,7.38
art,7,6.6
favorite,7,7.04
isn,7,4.86
children,7,7.12
sam,7,5.42
president,7,5.86
work,7,5.24
does,7,5.22
just,7,5.76
killed,7,1.56
world,7,6.52
stranded,7,3.73
california,7,6.08
times,7,5.58
white,7,6.28
way,7,5.24
home,7,7.14
peace,7,7.86
takes,7,5.04
food,7,7.44
evening,7,6.42
israel,6,4.78
near,6,5.72
support,6,6.44
women,6,7.12
close,6,4.94
thursday,6,5.86
change,6,5.56
report,6,4.76
officials,6,4.76
family,6,7.72
questions,6,5.0
make,6,6.0
la,6,5.0
don,6,4.98
trip,6,7.0
senate,6,4.7
twitter,6,5.46
residents,6,5.66
energy,6,7.22
chief,6,6.18
court,6,3.78
path,6,5.82
making,6,6.24
black,6,4.88
climate,6,5.8
battle,6,2.98
tax,6,2.86
final,6,5.02
weapons,6,2.4
end,6,4.36
face,6,6.12
little,6,4.6
american,6,6.74
attacks,6,2.46
need,6,4.84
update,6,5.72
race,5,5.76
hard,5,4.1
stories,5,6.62
shows,5,6.08
western,5,6.1
opera,5,5.56
role,5,5.68
temperatures,5,5.71
buy,5,6.28
flights,5,5.98
federal,5,4.94
prison,5,2.06
inside,5,5.4
public,5,5.18
game,5,6.92
health,5,7.22
canada,5,5.98
going,5,5.42
judge,5,4.92
missiles,5,2.82
nearly,5,5.26
chicken,5,6.4
leave,5,4.52
newly,5,6.5
finds,5,5.94
police,5,4.58
delays,5,3.44
region,5,5.14
right,5,6.54
sale,5,6.58
welcome,5,7.16
met,5,5.82
high,5,6.64
woman,5,6.84
star,5,7.22
leader,5,6.38
jewish,5,5.72
town,5,5.88
hours,5,5.22
spending,5,5.24
bad,5,2.64
won,5,8.1
state,5,5.28
soccer,5,6.44
test,5,4.06
needs,5,4.98
latest,5,6.06
deal,5,6.32
moscow,5,5.06
long,5,4.74
plan,5,6.14
road,5,5.86
million,5,7.38
drop,5,4.3
people,5,6.16
case,5,5.02
stream,5,6.42
movies,5,7.34
attack,5,2.42
wednesday,4,5.38
anxiety,4,3.03
list,4,5.46
france,4,6.32
french,4,5.96
raises,4,6.66
chapter,4,5.6
ask,4,5.2
stand,4,5.6
committee,4,5.12
red,4,5.56
community,4,6.28
finding,4,5.8
iran,4,4.3
want,4,5.7
tech,4,6.22
wants,4,5.38
dream,4,7.1
party,4,7.58
fears,4,2.68
like,4,7.22
really,4,5.84
avoid,4,3.14
panel,4,5.54
changed,4,5.06
conditions,4,4.78
fall,4,4.04
germany,4,5.94
music,4,8.02
comes,4,5.58
ice,4,5.8
got,4,5.6
shooting,4,2.52
record,4,5.78
parents,4,7.36
east,4,5.82
paris,4,6.86
moves,4,5.68
guilty,4,2.64
amid,4,5.08
strike,4,3.96
north,4,5.52
line,4,4.98
went,4,4.88
market,4,6.28
major,4,5.76
ahead,4,6.08
cook,4,6.64
dinner,4,7.4
university,4,6.74
charged,4,5.04
days,4,5.76
democrats,4,5.5
xi,4,4.94
team,4,6.26
signs,4,5.54
victims,4,2.32
far,4,4.38
recipes,4,6.86
killings,4,1.8
authorities,4,4.38
better,4,7.0
talks,4,5.82
away,4,4.22
law,4,4.9
joy,4,8.16
love,4,8.42
dozens,4,5.7
arizona,4,5.58
watching,4,5.84
blizzard,4,4.78
advice,4,6.22
campaign,4,5.34
rules,4,4.28
story,4,6.48
union,4,6.04
read,4,6.52
things,4,5.76
look,4,5.54
tell,4,5.42
history,4,5.84
novel,4,6.68
eye,4,6.14
leaving,4,3.58
published,3,6.32
scene,3,5.94
space,3,5.96
korean,3,5.48
moments,3,6.1
chair,3,5.44
employees,3,5.64
hopes,3,7.0
snow,3,6.32
st,3,4.88
flight,3,6.06
tuesday,3,4.98
policy,3,4.74
staff,3,5.36
stay,3,5.56
includes,3,5.88
pop,3,5.98
americans,3,6.5
reason,3,5.54
conflict,3,3.1
toll,3,4.06
foreign,3,5.68
use,3,5.64
signal,3,5.44
lawmakers,3,4.7
hits,3,4.98
africa,3,5.26
artist,3,6.74
faces,3,6.2
users,3,5.48
guide,3,6.1
early,3,5.66
recent,3,5.56
iowa,3,5.24
west,3,5.68
sydney,3,5.68
leaves,3,5.62
reporter,3,5.16
freeze,3,4.08
spy,3,4.24
billion,3,7.56
mysterious,3,5.54
crew,3,5.6
bond,3,5.68
science,3,6.86
babylon,3,4.98
